user_id,booking_time,total_cancel_bookings,total_bookings,reservation_date,reservation_time,num_guests,is_first_booking,avg_user_cancel_rate,payment_status,user_distance_km,advance_minutes,booking_hour,reservation_hour,is_weekend,is_arrival
user_82,2025-05-07 03:41:28.461270,3,11,2025-05-07,06:51:28,1,0,0.2727272727272727,COMPLETED,3.6,190.0,3,6,0,1
user_82,2025-05-08 15:43:28.461270,4,12,2025-05-09,08:03:28,4,0,0.3333333333333333,PAID_PENDING_USE,3.8,980.0,15,8,0,1
user_31,2025-05-07 00:18:28.461270,8,6,2025-05-07,05:56:28,3,1,1.3333333333333333,COMPLETED,7.41,338.0,0,5,0,0
user_91,2025-05-06 11:05:28.461270,9,14,2025-05-07,07:43:28,4,0,0.6428571428571429,CANCELLED_REFUNDED,18.02,1238.0,11,7,0,1
user_96,2025-05-07 08:29:28.461270,8,8,2025-05-08,06:33:28,4,1,1.0,COMPLETED,21.81,1324.0,8,6,0,0
user_14,2025-05-09 17:15:28.461270,6,18,2025-05-09,19:38:28,1,0,0.3333333333333333,PAID_PENDING_USE,10.26,143.0,17,19,0,1
user_10,2025-05-06 00:16:28.461270,4,12,2025-05-06,16:21:28,4,0,0.3333333333333333,PAID_PENDING_USE,21.67,965.0,0,16,0,1
user_27,2025-05-08 15:59:28.461270,8,4,2025-05-08,18:25:28,1,0,2.0,PAID_PENDING_USE,15.27,146.0,15,18,0,0
user_80,2025-05-07 16:52:28.461270,6,15,2025-05-08,15:37:28,1,1,0.4,PAID_PENDING_USE,17.72,1365.0,16,15,0,1
user_63,2025-05-06 12:45:28.461270,0,7,2025-05-06,15:53:28,4,0,0.0,COMPLETED,27.69,188.0,12,15,0,1
user_77,2025-05-10 02:32:28.461270,6,19,2025-05-10,07:30:28,3,1,0.3157894736842105,PAID_PENDING_USE,27.44,298.0,2,7,1,1
user_28,2025-05-08 17:11:28.461270,4,20,2025-05-08,21:58:28,3,1,0.2,CANCELLED_REFUNDED,3.44,287.0,17,21,0,1
user_32,2025-05-10 17:19:28.461270,0,14,2025-05-10,18:27:28,2,1,0.0,CANCELLED_REFUNDED,26.68,68.0,17,18,1,1
user_72,2025-05-08 21:01:28.461270,10,7,2025-05-09,06:22:28,4,1,1.4285714285714286,PAID_PENDING_USE,13.56,561.0,21,6,0,0
user_45,2025-05-06 22:17:28.461270,6,4,2025-05-07,11:45:28,2,0,1.5,PAID_PENDING_USE,21.76,808.0,22,11,0,0
user_65,2025-05-07 23:12:28.461270,3,16,2025-05-08,10:18:28,2,0,0.1875,CANCELLED_REFUNDED,3.06,666.0,23,10,0,1
user_7,2025-05-08 20:33:28.461270,3,20,2025-05-09,10:55:28,2,1,0.15,CANCELLED_REFUNDED,19.52,862.0,20,10,0,1
user_48,2025-05-08 14:09:28.461270,2,15,2025-05-08,22:25:28,2,0,0.13333333333333333,PAID_PENDING_USE,19.24,496.0,14,22,0,1
user_48,2025-05-06 22:01:28.461270,4,18,2025-05-07,18:50:28,1,0,0.2222222222222222,COMPLETED,0.52,1249.0,22,18,0,1
user_76,2025-05-06 05:33:28.461270,7,10,2025-05-06,08:18:28,5,1,0.7,CANCELLED_REFUNDED,9.77,165.0,5,8,0,0
user_79,2025-05-08 11:01:28.461270,9,12,2025-05-08,15:54:28,2,0,0.75,CANCELLED_REFUNDED,26.24,293.0,11,15,0,0
user_17,2025-05-08 16:45:28.461270,7,13,2025-05-09,05:20:28,1,1,0.5384615384615384,COMPLETED,8.9,755.0,16,5,0,1
user_21,2025-05-09 14:31:28.461270,1,4,2025-05-09,23:26:28,5,1,0.25,PAID_PENDING_USE,4.36,535.0,14,23,0,1
user_9,2025-05-10 16:54:28.461270,8,10,2025-05-11,06:53:28,1,1,0.8,CANCELLED_REFUNDED,13.67,839.0,16,6,1,1
user_43,2025-05-08 14:44:28.461270,9,9,2025-05-09,09:48:28,4,0,1.0,COMPLETED,27.33,1144.0,14,9,0,1
user_91,2025-05-06 23:38:28.461270,6,20,2025-05-07,04:44:28,2,1,0.3,COMPLETED,12.61,306.0,23,4,0,1
user_72,2025-05-08 22:01:28.461270,1,17,2025-05-09,11:14:28,4,0,0.058823529411764705,COMPLETED,27.79,793.0,22,11,0,1
user_34,2025-05-07 20:07:28.461270,10,8,2025-05-07,22:54:28,1,1,1.25,COMPLETED,6.0,167.0,20,22,0,0
user_62,2025-05-07 11:54:28.461270,8,16,2025-05-07,20:41:28,4,0,0.5,CANCELLED_REFUNDED,29.95,527.0,11,20,0,1
user_94,2025-05-06 04:14:28.461270,6,11,2025-05-06,16:40:28,1,1,0.5454545454545454,PAID_PENDING_USE,6.61,746.0,4,16,0,1
user_15,2025-05-07 01:13:28.461270,5,10,2025-05-07,07:34:28,6,1,0.5,PAID_PENDING_USE,15.29,381.0,1,7,0,1
user_67,2025-05-07 03:08:28.461270,4,6,2025-05-07,08:49:28,1,1,0.6666666666666666,COMPLETED,25.57,341.0,3,8,0,0
user_91,2025-05-08 22:09:28.461270,1,11,2025-05-09,05:34:28,4,0,0.09090909090909091,CANCELLED_REFUNDED,22.79,445.0,22,5,0,1
user_51,2025-05-09 08:13:28.461270,5,6,2025-05-09,20:23:28,6,0,0.8333333333333334,CANCELLED_REFUNDED,12.16,730.0,8,20,0,0
user_3,2025-05-07 05:40:28.461270,10,10,2025-05-07,18:59:28,1,1,1.0,CANCELLED_REFUNDED,11.13,799.0,5,18,0,0
user_64,2025-05-09 09:47:28.461270,1,7,2025-05-10,07:12:28,1,0,0.14285714285714285,PAID_PENDING_USE,7.16,1285.0,9,7,1,1
user_60,2025-05-08 13:49:28.461270,3,4,2025-05-09,06:36:28,4,1,0.75,COMPLETED,25.37,1007.0,13,6,0,0
user_70,2025-05-07 23:03:28.461270,5,4,2025-05-08,02:03:28,4,1,1.25,COMPLETED,22.04,180.0,23,2,0,0
user_3,2025-05-08 02:31:28.461270,8,20,2025-05-08,09:52:28,3,1,0.4,PAID_PENDING_USE,22.23,441.0,2,9,0,0
user_61,2025-05-08 21:16:28.461270,7,20,2025-05-09,13:32:28,6,1,0.35,PAID_PENDING_USE,13.69,976.0,21,13,0,1
user_49,2025-05-09 21:28:28.461270,9,8,2025-05-10,09:33:28,6,0,1.125,CANCELLED_REFUNDED,13.74,725.0,21,9,1,0
user_87,2025-05-06 20:13:28.461270,2,9,2025-05-07,10:29:28,3,1,0.2222222222222222,COMPLETED,23.69,856.0,20,10,0,1
user_19,2025-05-08 14:37:28.461270,5,8,2025-05-09,13:48:28,4,0,0.625,PAID_PENDING_USE,2.95,1391.0,14,13,0,1
user_55,2025-05-07 21:41:28.461270,0,1,2025-05-08,05:45:28,1,0,0.0,COMPLETED,23.89,484.0,21,5,0,1
user_96,2025-05-06 09:17:28.461270,5,14,2025-05-06,16:39:28,1,1,0.35714285714285715,CANCELLED_REFUNDED,28.98,442.0,9,16,0,0
user_41,2025-05-07 03:30:28.461270,4,18,2025-05-07,10:41:28,2,1,0.2222222222222222,COMPLETED,19.52,431.0,3,10,0,1
user_58,2025-05-10 00:54:28.461270,9,6,2025-05-10,22:51:28,6,1,1.5,PAID_PENDING_USE,28.35,1317.0,0,22,1,1
user_59,2025-05-07 15:13:28.461270,6,3,2025-05-08,14:58:28,1,0,2.0,COMPLETED,25.1,1425.0,15,14,0,0
user_65,2025-05-10 10:30:28.461270,3,1,2025-05-10,20:41:28,3,0,3.0,COMPLETED,29.36,611.0,10,20,1,0
user_9,2025-05-08 00:39:28.461270,6,1,2025-05-08,04:08:28,5,0,6.0,CANCELLED_REFUNDED,23.62,209.0,0,4,0,0
user_68,2025-05-08 16:14:28.461270,10,6,2025-05-09,16:05:28,5,0,1.6666666666666667,COMPLETED,10.59,1431.0,16,16,0,0
user_47,2025-05-08 21:59:28.461270,2,15,2025-05-09,18:46:28,4,1,0.13333333333333333,CANCELLED_REFUNDED,0.77,1247.0,21,18,0,1
user_24,2025-05-09 15:03:28.461270,5,2,2025-05-10,06:08:28,6,0,2.5,CANCELLED_REFUNDED,8.47,905.0,15,6,1,0
user_40,2025-05-09 22:24:28.461270,10,3,2025-05-10,14:55:28,1,1,3.3333333333333335,COMPLETED,3.56,991.0,22,14,1,0
user_7,2025-05-06 01:27:28.461270,5,14,2025-05-06,09:39:28,6,1,0.35714285714285715,CANCELLED_REFUNDED,4.38,492.0,1,9,0,0
user_6,2025-05-10 10:33:28.461270,8,2,2025-05-10,20:27:28,1,0,4.0,CANCELLED_REFUNDED,29.48,594.0,10,20,1,0
user_96,2025-05-10 19:25:28.461270,4,15,2025-05-11,11:34:28,2,1,0.26666666666666666,CANCELLED_REFUNDED,28.79,969.0,19,11,1,1
user_84,2025-05-07 20:11:28.461270,9,3,2025-05-08,13:24:28,4,0,3.0,CANCELLED_REFUNDED,6.01,1033.0,20,13,0,0
user_100,2025-05-08 17:04:28.461270,1,7,2025-05-09,04:16:28,2,0,0.14285714285714285,COMPLETED,4.03,672.0,17,4,0,1
user_57,2025-05-08 09:11:28.461270,8,18,2025-05-08,16:07:28,6,0,0.4444444444444444,PAID_PENDING_USE,6.78,416.0,9,16,0,1
user_21,2025-05-07 06:42:28.461270,2,7,2025-05-07,15:52:28,4,1,0.2857142857142857,CANCELLED_REFUNDED,26.93,550.0,6,15,0,0
user_6,2025-05-09 02:27:28.461270,6,2,2025-05-09,08:02:28,1,0,3.0,CANCELLED_REFUNDED,27.61,335.0,2,8,0,0
user_41,2025-05-06 18:21:28.461270,2,14,2025-05-07,04:59:28,6,1,0.14285714285714285,COMPLETED,16.71,638.0,18,4,0,1
user_19,2025-05-09 01:12:28.461270,4,13,2025-05-09,21:54:28,3,1,0.3076923076923077,CANCELLED_REFUNDED,28.62,1242.0,1,21,0,1
user_48,2025-05-08 01:32:28.461270,8,1,2025-05-08,16:08:28,5,0,8.0,PAID_PENDING_USE,18.62,876.0,1,16,0,0
user_43,2025-05-06 23:30:28.461270,10,5,2025-05-07,12:21:28,2,0,2.0,COMPLETED,11.17,771.0,23,12,0,0
