URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,4An Café & Vietnamese Vegetarian - Nam Kỳ Khởi Nghĩa,"61 Nam kỳ khởi nghĩa, P. Bến Thành, Q. 1",Gọi món chay,20.000 - 100.000,07h30 – 21h30,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,"Gia đình, bạn bè, đồng nghiệp…","Burger chay, Bún riêu chay, Đậu hũ ky lá cuộn sốt thảo mộc…","Mộc mạc, thân thiện", 60 khách (trong nhà + sân vườn),"Không gian nhà hàng xinh xắn, tao nhã giữa lòng Sài Gòn. Món ăn đẹp, ngon, bổ dưỡng.",,,,,,,,,106.70052,10.771851,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,Chỗ để xe ô tô,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,THỨ HAI,07:30,21:30,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,THỨ BA,07:30,21:30,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,THỨ TƯ,07:30,21:30,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,THỨ NĂM,07:30,21:30,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,THỨ SÁU,07:30,21:30,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,THỨ BẢY,07:30,21:30,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,CHỦ NHẬT,07:30,21:30,,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,,,,nha-hang-4an-vegetarian-nam-ky-khoi-nghia-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-4an-vegetarian-nam-ky-khoi-nghia-1-normal-1871170249443.webp,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,,,,nha-hang-4an-vegetarian-nam-ky-khoi-nghia-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-4an-vegetarian-nam-ky-khoi-nghia-2-normal-1871171149444.webp,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,,,,nha-hang-4an-vegetarian-nam-ky-khoi-nghia-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-4an-vegetarian-nam-ky-khoi-nghia-3-normal-1871171249445.webp,,,
https://pasgo.vn/nha-hang/4an-cafe-and-vietnamese-vegetarian-nam-ky-khoi-nghia-4305,,,,,,,,,,,,,,,,,,,,nha-hang-4an-vegetarian-nam-ky-khoi-nghia-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-4an-vegetarian-nam-ky-khoi-nghia-4-normal-1871171749446.webp,,,
