URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,BA GÁC - Nam Kỳ Khởi Nghĩa,"Số 61 Nam Kỳ Khởi Nghĩa, P. Bến Thành, Q. 1",Gọi món Việt (Nướng & Bia),250.000 - 300.000,16h00 – 24h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,"Đặt tiệc, gặp mặt, liên hoan, họp nhóm, gia đình,…","Tôm Lửa Hồng; Ba Rọi Heo Sả Tắc; Giò heo xông khói; Dẻ sườn bò Mỹ sốt cay; Hàu Hạ Long Nướng Phô Mai; Combo Ba Gác; Bánh Đa Xào Bò; Lẩu Măng Chua Cá Tầm; Bò Mỹ Nướng Ống Tre; Gà Nướng Tây Bắc Lên Mâm,…","Không gian mở, thoáng", 150 khách,"BA GÁC là nhà hàng nướng và bia Việt Nam đương đại với sự giao thoa giữa ẩm thực nướng đặc trưng, các hoạt động văn nghệ và không gian sân vườn rộng rãi tạo nên trải nghiệm độc đáo “đậm chất BA GÁC”.
Đến BA GÁC để gác ba điều:
- Gác âu lo
- Gác muộn phiền
- Gác vai nhau, vui sau giờ làm",,,,,,,,,106.70052,10.771893,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe trước cửa nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,THỨ HAI,16:00,23:59,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,THỨ BA,16:00,23:59,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,THỨ TƯ,16:00,23:59,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,THỨ NĂM,16:00,23:59,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,THỨ SÁU,16:00,23:59,,,,
https://pasgo.vn/nha-hang/ba-gac---nuong-and-bia-nam-ky-khoi-nghia-4047,,,,,,,,,,,,,,,,,THỨ BẢY,16:00,23:59,,,,
