URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,Bò 5S - Đinh Tiên Hoàng,"8A Đinh Tiên Hoàng, P. Đa Kao, Q. 1",Gọi món Việt - Chuyên Bò,150.000 - 250.000,16h00 - 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,"Tụ họp, liên hoan, sinh nhật, gia đình, bạn bè…","Gỏi bưởi mực 1 nắng, Chả ram Làng Việt, Gù bò nướng ống tre, Gà quay nấm tam sắc, Tôm càng xốt cà ri, Lẩu sụn & gân bò Làng Việt, Chè khúc bạch…",Biệt thự cổ kết hợp hiện đại, 235 khách,"- Viet Village là nhà hàng chuyên các món Việt từ 3 miền, phù hợp dùng bữa thân tình với bạn bè, đồng nghiệp và đối tác.",,,,,,,,,106.700358046551,10.7878577090175,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,Tầng trệt khu A,60 khách,,,,,,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,Tầng trệt khu B,35 khách,,,,,,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,Phòng riêng,1 phòng (20 khách),,,,,,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,Thứ hai,16:00,23:00,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,Thứ ba,16:00,23:00,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,Thứ tư,16:00,23:00,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,Thứ năm,16:00,23:00,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,Thứ sáu,16:00,23:00,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,Thứ bảy,16:00,23:00,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,Chủ nhật,16:00,23:00,,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 1: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-1-normal-2330784864413.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 2: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-2-normal-2330785064414.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 3: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-3-normal-2330785264415.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 4: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-4-normal-2330785464417.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 5: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-5-normal-2330785664419.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 6: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-6-normal-2330785864421.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 7: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-7-normal-2330786064423.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 8: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-8-normal-2330786264425.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 9: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-9-normal-2330786464427.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,bo-5s-dinh-tien-hoang-10: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-10-normal-2330787364429.webp,,,
https://pasgo.vn/nha-hang/bo-5s-dinh-tien-hoang-5479,,,,,,,,,,,,,,,,,,,,Bò 5S Đinh Tiên Hoàng 11: https://pasgo.vn/Upload/anh-chi-tiet/bo-5s-dinh-tien-hoang-11-normal-2330787564431.webp,,,
