URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,Cháo Sườn Chú Chen - Nguyễn Trãi,"281 - 283 Nguyễn Trãi, P. Nguyễn Cư Trinh, Q. 1",Chuyên cháo,100.000 - 150.000,07h00 – 03h00 sáng hôm sau,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,"Tiếp khách, tụ họp, gặp mặt, gia đình...",Nạc vai ngoại bò Mỹ; Sườn bò Mỹ rút xương; Thịt thăn chuột bò Mỹ; Sườn cừu nướng ăn kèm khoai tây nghiền & sốt nho; Cá hồi nướng với sốt bơ chanh và khoai tây nghiền; Gà nướng ăn kèm sốt xả và khoai tây nghiền;…,"Sang trọng, hiện đại", 110 khách (02 tầng),"Nguồn thịt bò nhập khẩu trực tiếp từ các thương hiệu uy tín hàng đầu như Tyson và Omaha (Mỹ), Mulwarra (Úc), Hitachi (Nhật)...",,,,,,,,,106.686929,10.762892,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,THỨ HAI,07:00,23:59,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,THỨ BA,07:00,23:59,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,THỨ TƯ,07:00,23:59,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,THỨ NĂM,07:00,23:59,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,THỨ SÁU,07:00,23:59,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,THỨ BẢY,07:00,23:59,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,CHỦ NHẬT,07:00,23:59,,,,
https://pasgo.vn/nha-hang/chao-suon-chu-chen-nguyen-trai-1524,,,,,,,,,,,,,,,,,,,,nha-hang-chao-suon-chu-chen-nguyen-trai-slide-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-chao-suon-chu-chen-nguyen-trai-slide-1-normal-124501511977.webp,,,
