URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,Nhà hàng Chay Phạm Nghiêm Trai Bongensai - Nguyễn Trãi,"199 Nguyễn Trãi, P. Nguyễn Cư trinh, Q.1","Gọi món, Buffet Chay",130.000 - 350.000,9h00 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.688146954396,10.7661582053527,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,Thứ hai,09:00,22:00,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,Thứ ba,09:00,22:00,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,Thứ tư,09:00,22:00,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,Thứ năm,09:00,22:00,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,Thứ sáu,09:00,22:00,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,Thứ bảy,09:00,22:00,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,Chủ nhật,09:00,22:00,,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 1: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-5-normal-2282590261001.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 2: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trai-11-normal-2282590961002.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 3: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-3-normal-2282215461003.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 4: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-1-normal-2282293261004.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 5: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-4-normal-2282590361005.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 6: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-6-normal-2282215761006.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 7: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-7-normal-2282216861007.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 8: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-8-normal-2282217661008.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 9: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-9-normal-2282218361009.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 10: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trai-10-normal-2282218461010.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 11: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trang-2-normal-2282591061011.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,Slide phạm nghiêm trai 12: https://pasgo.vn/Upload/anh-chi-tiet/slide-pham-nghiem-trai-12-normal-2282219061012.webp,,,
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-pham-nghiem-trai/menu-nghiêm-trai-1.jpg
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-pham-nghiem-trai/menu-nghiêm-trai-2.jpg
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-pham-nghiem-trai/menu-nghiêm-trai-3.jpg
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-pham-nghiem-trai/menu-nghiêm-trai-4.jpg
https://pasgo.vn/nha-hang/chay-pham-nghiem-trai-nguyen-trai-5215,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-pham-nghiem-trai/menu-nghiêm-trai-5.jpg
