URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,Chay Shanti Veggie - Lương Hữu Khánh,"8 Lương Hữu Khánh, P. Phạm Ngũ Lão, Q. 1",Gọi món Chay,150.000 - 250.000,9h00 - 21h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.686844022507,10.7695391897217,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,Thứ hai,09:00,21:00,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,Thứ ba,09:00,21:00,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,Thứ tư,09:00,21:00,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,Thứ năm,09:00,21:00,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,Thứ sáu,09:00,21:00,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,Thứ bảy,09:00,21:00,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,Chủ nhật,09:00,21:00,,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,,,,Slide Shanti veggie 1: https://pasgo.vn/Upload/anh-chi-tiet/slide-chay-shanti-veggie-1-normal-2291613561922.webp,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,,,,Slide Shanti veggie 2: https://pasgo.vn/Upload/anh-chi-tiet/slide-chay-shanti-veggie-2-normal-2291613661923.webp,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,,,,Slide Shanti veggie 3: https://pasgo.vn/Upload/anh-chi-tiet/slide-chay-shanti-veggie-3-normal-2291613761924.webp,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,,,,Slide Shanti veggie 4: https://pasgo.vn/Upload/anh-chi-tiet/slide-chay-shanti-veggie-4-normal-2291613861925.webp,,,
https://pasgo.vn/nha-hang/chay-shanti-veggie-luong-huu-khanh-5288,,,,,,,,,,,,,,,,,,,,Slide Shanti veggie 5: https://pasgo.vn/Upload/anh-chi-tiet/slide-chay-shanti-veggie-5-normal-2291613961926.webp,,,
