URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,Ghiền Quán - Hoàng Sa,"209 Hoàng Sa, P. Tân Định, Q. 1",Gọi món Việt,200.000 - 300.000,15h00 - 02h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,"KH văn phòng, bạn bè, cặp đôi,...","Gỏi bò quán Ghiền, Gỏi ếch rau rừng,Đậu hủ trứng chà bông bắc thảo,Pate Nhum Ghiền,Sườn cây BBQ,Trâu gác bếp, Sườn bò hầm ớt kiểu Thái, Combo Hải Sản sống sốt Thái,...",Không gian rộng rãi, 140 khách ,"- Tổ chức tiệc decor miễn phí, không gian lầu chứa được >50ng
- Món ăn độc đáo với cách chế biến riêng của đầu bếp
- Nguyên liệu tươi ngon
- Giá cả hợp lý cho khu vực trung tâm Q.1, Q.3
- Nhà hàng có band nhạc Acoutics vào thứ 3 và thứ 6",,,,,,,,,106.6900740706,10.7952320603446,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,Khu vực 1,40 khách,,,,,,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,Khu vực 2,50 khách,,,,,,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,Khu vực rooftop,50 khách,,,,,,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,,,"Chỗ để ô tô, xe máy",Để xe trước cửa Nhà hàng  (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,,,,,Thứ hai,15:00,23:59,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,,,,,Thứ ba,15:00,23:59,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,,,,,Thứ tư,15:00,23:59,,,,
https://pasgo.vn/nha-hang/ghien-quan-hoang-sa-5243,,,,,,,,,,,,,,,,,Thứ năm,15:00,23:59,,,,
