URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,Gyu Shige Ngưu Phồn - Đông Du,"Số 48-50 Đông Du, phường Bến Nghé, Quận 1",Gọi món nướng lẩu Nhật Bản,200.000 - 300.000,10h30 – 21h30,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,"Họp mặt, sinh nhật, liên hoan,...","Sụn gà hoàng kim, Cơm chiên kiểu King, Ức vịt sốt chua ngọt, Tôm chiên hoàng bào, Miến xào thịt cua tôm...","Phong cách hoàng gia, sang trọng", 800 khách (08 tầng),"- Đa dạng ngôn ngữ và phong phú về số lượng bài hát
- Hệ thống âm thanh đạt chuẩn quốc tế",,,,,,,,,106.704751,10.776435,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,Phòng riêng,40 phòng (05- 80 khách/phòng),,,,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,,,,,THỨ HAI,10:30,21:30,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,,,,,THỨ BA,10:30,21:30,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,,,,,THỨ TƯ,10:30,21:30,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,,,,,THỨ NĂM,10:30,21:30,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-dong-du-2807,,,,,,,,,,,,,,,,,THỨ SÁU,10:30,21:30,,,,
