URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,Gyu Shige Ngưu Phồn - Trần Hưng Đạo,"6A Trần Hưng Đạo, P. Phạm Ngũ Lão, Quận 1",Gọi món nướng lẩu Nhật Bản,200.000 - 300.000,11h00 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,"Đặt tiệc, tiếp khách, gia đình, bạn bè, sinh nhật...","Dẻ sườn bò bản lớn, Sườn bò không xương, Sườn heo bản lớn sốt Yuzu, Tôm càng sốt trứng cá tuyết, Thăn heo Iberico cao cấp, Lưỡi bò cao cấp, Lưỡi bò hoa sốt Yuzu, Sò điệp Hokkaido nướng giấy bạc…",Nhật Bản. Hiện đại, 100 khách (02 tầng),"Chuỗi nhà hàng nướng Ngưu Phồn - Gyu Shige với hơn 150 chi nhánh đến từ Nhật Bản - Là nhà hàng nướng thuần Nhật, các nguyên liệu tại Gyu Shige được nhập khẩu từ chính đất nước này.",,,,,,,,,106.696211,10.769361,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,Phòng riêng,06 phòng (04-12 khách/phòng),,,,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,THỨ HAI,11:00,22:00,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,THỨ BA,11:00,22:00,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,22:00,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,22:00,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,22:00,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-shige-nguu-phon-tran-hung-dao-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-shige-nguu-phon-tran-hung-dao-1-normal-1020256239232.webp,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-shige-nguu-phon-tran-hung-dao-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-shige-nguu-phon-tran-hung-dao-2-normal-1020256739233.webp,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-shige-nguu-phon-tran-hung-dao-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-shige-nguu-phon-tran-hung-dao-3-normal-1020258339234.webp,,,
https://pasgo.vn/nha-hang/gyu-shige-nguu-phon-tran-hung-dao-3514,,,,,,,,,,,,,,,,,,,,nha-hang-gyu-shige-nguu-phon-tran-hung-dao-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-gyu-shige-nguu-phon-tran-hung-dao-4-normal-1020258539235.webp,,,
