URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,Hội An Garden – Trần Quốc Toản,"Số 72/1, đường Trần Quốc Toản, Phường 08, Quận 3",Gọi món Việt,250.000 – 350.000,10h00 – 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,KHÔNG GIAN:,- Không gian truyền thống đầy màu sắc đậm chất làng chài cổ Nhật Bản,,100 khách,,,,,,,,,,106.687719,10.787545,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,THỨ HAI,10:00,22:00,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,THỨ BA,10:00,22:00,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,22:00,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,22:00,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,22:00,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,22:00,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:00,22:00,,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-1-normal-1285214921125.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-2-normal-1285215121126.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-3-normal-1285215321127.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-4-normal-1285215621128.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-5-normal-1285201521129.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-6-normal-1285201621130.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-7-normal-1285202121131.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-8-normal-1285215821132.webp,,,
https://pasgo.vn/nha-hang/hoi-an-garden-tran-quoc-toan-2183,,,,,,,,,,,,,,,,,,,,nha-hang-hoi-an-garden-tran-quoc-toan-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hoi-an-garden-tran-quoc-toan-9-normal-1285216021133.webp,,,
