URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,Hue Delights - Takashimaya,"B2-15, Takashimaya, 92-94 Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Q. 1",Gọi Món (Chuyên món ăn Huế),120.000đ - 200.000,09h30 – 21h30,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,"Gặp mặt, liên hoan, họp nhóm, gia đình,…..","Các loại bánh Huế: Bánh bèo, bánh nậm, bánh lọc, bánh cuốn thịt nướng…; Cơm sen chay, Cơm sen bò, Cơm đùi gà rô ti, Cơm chiên cá mặn…; Bún bò, Bún thịt nướng, Nem lụi; Các món gỏi; Lẩu bò, Lẩu hải sản; Các loại chè Huế...",Hiện đại, 50 khách,"Chuỗi nhà hàng Hue Delights chuyên phục vụ các món ăn Huế, được sáng lập bởi nghệ nhân ẩm thực Phan Tôn Tuệ Minh – người có xuất thân từ gia đình dòng dõi hoàng tộc và có nhiều người là nghệ nhân, chuyên gia ẩm thực hàng đầu Việt Nam.",,,,,,,,,106.700606,10.773135,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,THỨ HAI,09:30,21:30,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,THỨ BA,09:30,21:30,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,THỨ TƯ,09:30,21:30,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,THỨ NĂM,09:30,21:30,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,THỨ SÁU,09:30,21:30,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,THỨ BẢY,09:30,21:30,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,CHỦ NHẬT,09:30,21:30,,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-1-normal-1292407643746.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-2-normal-1292407743747.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-3-normal-1292407843748.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-4-normal-1292408043749.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-5-normal-1297217143750.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-6-normal-1292408443751.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-7-normal-1292408943752.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-8-normal-1292409143753.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-9-normal-1292409243754.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-10-normal-1292409343755.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-11-normal-1292409843756.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,nha-hang-hue-delights-takashimaya-quan-1-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-delights-takashimaya-quan-1-12-normal-1292410443757.webp,,,
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Mountain Retreat/Mountain Retreat-1.jpg
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Mountain Retreat/Mountain Retreat-7.jpg
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Mountain Retreat/Mountain Retreat-13.jpg
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Mountain Retreat/Mountain Retreat-18.jpg
https://pasgo.vn/nha-hang/hue-delights-takashimaya-3846,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Mountain Retreat/Mountain Retreat-23.jpg
