URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,Kậu Ba Quán - Hoàng Sa,"Số 85 đường Hoàng Sa, P. Đa Kao, Q. 1",Gọi món Á,150.000 - 250.000,9h00 - 24h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,"Tất cả khách hàng, gia đình, bạn bè, tiếp khách, sinh nhật...","- Bò satsuma A5+ (dùng kèm bánh chanh vàng, cà chua, khoai tây nấu chậm trong mỡ bò Kobe, cà rốt nhỏ)
- Đùi vịt nấu chậm (dùng kèm khoai tây xào tỏi, húng quế, xà lách rocket, sốt mù tạt vàng)
- Cà chua lớn phô mai mozzarella (bánh tart nghìn lớp nhân cà chua, phô mai Mozzarella nhà làm, sốt quế, giấm balsamic, xà lách rocket)
- Súp vàng hải sản kiểu Pháp (Nhụy hoa nghệ tây, cá mú , sò điệp, mực, sốt Aioli)
- Mỳ Ý đen nhà làm (dùng kèm sò điệp, tôm sú biển, vẹm, sốt tôm)
- Súp phở bào ngư gan ngỗng
- Salad trái cây – kem trà xanh bạc hà – bánh quy
- Lưỡi bò","Phong cách Âu, sang trọng, ấm áp", 35 khách,"- Nhà hàng Kobe Bistro do đầu bếp nổi tiếng David Thai làm đầu bếp trưởng. Ông là một chuyên gia về ẩm thực Pháp đương đại. Phong cách đặc trưng của ông là sự pha trộn 2 nền ẩm thực Đông và Tây.
- Món ăn mang hương vị khác biệt và không gian sang trọng, ấm áp đặc trưng tại Kobe Bistro sẽ là một lựa chọn hoàn hảo, ghi dấu ấn khó phai cho bữa tiệc của bạn.",,,,,,,,,106.701845224571,10.7925449674867,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,,,,,Thứ hai,09:00,23:59,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,,,,,Thứ ba,09:00,23:59,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,,,,,Thứ tư,09:00,23:59,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,,,,,Thứ năm,09:00,23:59,,,,
https://pasgo.vn/nha-hang/kau-ba-quan-hoang-sa-5271,,,,,,,,,,,,,,,,,Thứ sáu,09:00,23:59,,,,
