URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,King BBQ Buffet - Mạc Đĩnh Chi,"Số 38 Mạc Đĩnh Chi, P. Đa Kao, Q. 1",Buffet Nướng Hàn Quốc,250.000 - 300.000,10h30 – 20h30,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,"Gia đình, bạn bè, đồng nghiệp,...","Hàu Nướng Misoyaki, Set Tàu Sashimi Titanic, Cuốn Hải Sản Chiên Xù Sốt Spicy, Cuốn Cá Hồi Phủ Cheese Đút Lò...",Phong cách Nhật Bản, 100 khách (02 tầng),"Nhà hàng Sushi Masa chuyên ẩm thực Nhật Bản, hoạt động với tôn chỉ “Chất lượng, tươi ngon, hợp vệ sinh cùng những trải nghiệm dịch vụ tốt nhất có thể với giá cả phải chăng”.",,,,,,,,,106.697336,10.787051,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,Phòng riêng,01 phòng,,,,,,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,Chỗ để xe ô tô,Gửi xe tại công viên Lê Văn Tám (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,Chỗ để xe máy,Gửi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,THỨ HAI,10:30,20:30,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,THỨ BA,10:30,20:30,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,THỨ TƯ,10:30,20:30,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,THỨ NĂM,10:30,20:30,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,THỨ SÁU,10:30,20:30,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,THỨ BẢY,10:30,20:30,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:30,20:30,,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-1: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-1-normal-129947413745.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-2: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-2-normal-129947513746.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-3: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-3-normal-129947613747.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-4: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-4-normal-129947713748.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-5: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-5-normal-129947813749.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-6: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-6-normal-129947913750.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-7: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-7-normal-129948013751.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-8: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-8-normal-129948113752.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-9: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-9-normal-129948213753.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-10: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-10-normal-129948313754.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-11: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-11-normal-129948413755.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,king-bbq-mac-dinh-chi-quan-1-slide-12: https://pasgo.vn/Upload/anh-chi-tiet/king-bbq-mac-dinh-chi-quan-1-slide-12-normal-129948513756.webp,,,
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/KingBBQ-HCM/KingBBQ-B01.jpg
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/KingBBQ-HCM/KingBBQ-B02.jpg
https://pasgo.vn/nha-hang/king-bbq-buffet-mac-dinh-chi-quan-1-1648,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/KingBBQ-HCM/KingBBQ-B03.jpg
