URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,King Karaoke - Hai Bà Trưng,"Số 27-29-31-33 Hai Bà Trưng, P. Bến Nghé, Q.1",Nhà hàng Karaoke,300.000 – 500.000,11h30 – 24h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,"Họp mặt, sinh nhật, liên hoan,...","Sụn gà hoàng kim, Cơm chiên kiểu King, Ức vịt sốt chua ngọt, Tôm chiên hoàng bào, Miến xào thịt cua tôm...","Phong cách hoàng gia, sang trọng", 800 khách (08 tầng),"- Đa dạng ngôn ngữ và phong phú về số lượng bài hát
- Hệ thống âm thanh đạt chuẩn quốc tế",,,,,,,,,106.705344,10.776169,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,Phòng riêng,40 phòng (05- 80 khách/phòng),,,,,,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,THỨ HAI,11:30,23:59,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,THỨ BA,11:30,23:59,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,THỨ TƯ,11:30,23:59,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,THỨ NĂM,11:30,23:59,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,THỨ SÁU,11:30,23:59,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,THỨ BẢY,11:30,23:59,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:30,23:59,,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-1-normal-1335758244281.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-2-normal-1335758844282.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-3-normal-1335759044283.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-4-normal-1335759844284.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-5-normal-1335760044285.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-6-normal-1335760944286.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-7-normal-1335761144287.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-8-normal-1335761744288.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-9-normal-1335762044289.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-10-normal-1335762344290.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-11-normal-1335762944291.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,nha-hang-king-karaoke-hai-ba-trung-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-king-karaoke-hai-ba-trung-12-normal-1335763044292.webp,,,
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/lent/kingkaraoke/1.jpg
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/lent/kingkaraoke/2.jpg
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/lent/kingkaraoke/3.jpg
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/lent/kingkaraoke/4.jpg
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/lent/kingkaraoke/5.jpg
https://pasgo.vn/nha-hang/king-karaoke-hai-ba-trung-3884,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/lent/kingkaraoke/6.jpg
