URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,Miya Sushi & BBQ - Nguyễn Trãi,"150/26 Nguyễn Trãi, P. Bến Thành, Q. 1",Gọi món Nhật Bản,100.000 - 170.000,10h00 – 14h30 và 17h00 – 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.690137,10.770082,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,THỨ HAI,17:00,22:00,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,THỨ BA,17:00,22:00,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,22:00,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,22:00,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,22:00,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,22:00,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,22:00,,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-1-normal-1852675413758.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-2-normal-1852675713759.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-3-normal-1852675813760.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-4-normal-1852693913761.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-5-normal-1852676013762.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-6-normal-1852676113763.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-7-normal-1852676213764.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-miya-sushi-and-bbq-nguyen-trai-8-normal-1852676513765.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-9: https://pasgo.vn/Upload/anh-chi-tiet/miya-sushi-and-bbq-nguyen-trai-slide-9-normal-129951313766.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-10: https://pasgo.vn/Upload/anh-chi-tiet/miya-sushi-and-bbq-nguyen-trai-slide-10-normal-129951413767.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-11: https://pasgo.vn/Upload/anh-chi-tiet/miya-sushi-and-bbq-nguyen-trai-slide-11-normal-129951513768.webp,,,
https://pasgo.vn/nha-hang/miya-sushi-and-bbq-nguyen-trai-1649,,,,,,,,,,,,,,,,,,,,miya-sushi-and-bbq-nguyen-trai-slide-12: https://pasgo.vn/Upload/anh-chi-tiet/miya-sushi-and-bbq-nguyen-trai-slide-12-normal-129951613769.webp,,,
