URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,Món Ăn Ngon - Huyền Trân Công Chúa,"Số 01 Huyền Trân Công Chúa, P. Bến Thành, Q. 1",Gọi món Hong Kong,150.000 - 200.000,06h00 – 21h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,"Đặt tiệc, liên hoan, gia đình, bạn bè, sinh nhật…","Há cảo HongKong, Cơm chiên tôm huỳnh hạt lầu, Vịt quay Bắc Kinh, Heo sữa quay, Sò điệp bách hoa chiên hạnh nhân lát, Hủ tiếu xào bò kiểu Quảng Đông, Đậu hủ hải sản tay cầm, Nhất phẩm phật khiêu tường…",Sang trọng, 500 khách,"Nhà hàng chuyên điểm tâm và các món ăn mang phong cách Trung Hoa đặc sắc. Với không gian ấm cúng và sang trọng thích hợp cho các buổi gặp gỡ, sinh nhật.",,,,,,,,,106.694125,10.776636,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,Phòng riêng,3 phòng (30 khách/phòng),,,,,,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,,,Chỗ để xe ô tô,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,,,,,THỨ HAI,06:00,21:00,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,,,,,THỨ BA,06:00,21:00,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,,,,,THỨ TƯ,06:00,21:00,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,,,,,THỨ NĂM,06:00,21:00,,,,
https://pasgo.vn/nha-hang/mon-an-ngon--huyen-tran-cong-chua-4323,,,,,,,,,,,,,,,,,THỨ SÁU,06:00,21:00,,,,
