URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,Ngọc Sương Seafood & Bar - Nguyễn Siêu,"Số 08 Nguyễn Siêu, P. Bến Nghé, Q. 1",Hải sản tươi sống,250.000 - 500.000,11h00 - 21h30,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,"Đặt tiệc, liên hoan, tiếp khách, tụ họp bạn bè, gia đình...","Gỏi cá Ngọc Sương, Tôm càng tái chanh sốt Tomyum, Sashimi hải sản – sốt nấm Truffle, Cơm giòn thịt cua, Cá chẽm nướng, Súp nghêu & vẹm, Mực một nắng nướng muối ớt...","Hiện đại, sang trọng", 300 khách (2 tầng),"- Là một thành viên của Tập Đoàn Ngọc Sương với chuỗi hải sản lâu đời với nhiều chi nhánh trên toàn quốc.
- Nguồn nguyên liệu hải sản từ các vùng biển nổi tiếng trong nước và vận chuyển về ngay trong ngày
- Nhạc sống phục vụ T3 hàng tuần từ 19h00 đến 21h00",,,,,,,,,106.705355,10.778958,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,Phòng riêng,7 phòng,,,,,,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,THỨ HAI,11:00,21:30,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,THỨ BA,11:00,21:30,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,21:30,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,21:30,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,21:30,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,21:30,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,21:30,,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-1-normal-1670332547571.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-2-normal-1670332647572.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-3-normal-1670332747573.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-4-normal-1670332847574.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-5-normal-1670332947575.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-6-normal-1670333047576.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-7-normal-1670333147577.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-8-normal-1670333247578.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-9-normal-1670333547580.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-10-normal-1670333647581.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-11-normal-1670333847582.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,nha-hang-ngoc-suong-seafood-&-bar-thai-van-lung-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-ngoc-suong-seafood-and-bar-thai-van-lung-12-normal-1670333947583.webp,,,
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-1.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-2.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-3.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-4.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-5.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-6.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-7.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-8.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-9.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-10.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-11.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-12.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-13.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-14.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-15.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-16.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-17.jpg
https://pasgo.vn/nha-hang/ngoc-suong-seafood-and-bar-nguyen-sieu-4121,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoigyushiget4/gyu-shige-18.jpg
