URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,Bò Lế Rồ - Trần Khánh Dư,"Số 5 Trần Khánh Dư, P. Tân Định, Q. 1",Chuyên các món từ bò,120.000 – 200.000 vn,11h00 - 17h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.689174,10.793893,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,THỨ HAI,11:00,17:00,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,THỨ BA,11:00,17:00,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,17:00,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,17:00,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,17:00,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,17:00,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,17:00,,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-1-normal-130889015155.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-2-normal-130889115156.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-3-normal-130889215157.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-4-normal-130889315158.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-5-normal-130889415159.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-6-normal-130889515160.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-7-normal-130889615161.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-8-normal-130889715162.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-9-normal-130889815163.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-10-normal-130889915164.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-11-normal-130890015165.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,nha-hang-bo-le-ro-tran-khanh-du-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bo-le-ro-tran-khanh-du-12-normal-130890115166.webp,,,
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/bolero/1.jpg
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/bolero/2.jpg
https://pasgo.vn/nha-hang/nha-hang-bo-le-ro-tran-khanh-du-1753,,,,,,,,,,,,,,,,,,,,,,,https://pastaxi-manager.onepas.vn/Content/Uploads/Prices/huongnt/bolero/3.jpg
