URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,Nhà hàng Chen – Nguyễn Trãi,"152-154 Nguyễn Trãi, P. Bến Thành, Q. 1","Lẩu, Gọi món Nhật Bản",200.000 - 300.000,10h00 – 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,"Hội họp, gặp gỡ, giao lưu, tiếp khách…","Steak (Bò Mỹ thượng hạng, Bò Wagyu Úc, Bò New Zealand, Bò Nhật), Vẹm New Zealand đút lò, Sườn heo nguyên bẹ sốt Thái, Vây cá hồi cháy tỏi…","Không gian mở, hiện đại", 150 khách,- Nguyên liệu bò nhập khẩu cao cấp.,,,,,,,,,106.6903623,10.7694514,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,Chỗ để xe ô tô,Không,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,,,THỨ HAI,10:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,,,THỨ BA,10:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-chen-nguyen-trai-1589,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,23:00,,,,
