URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,Con Voi Vàng - Hai Bà Trưng,"34 Hai Bà Trưng, P. Bến Nghé, Q. 1",Gọi món Thái Lan,250.000 - 300.000,11h00 - 14h00 & 17h00 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,"Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…","Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…",Phong cách Nhật Bản, 200 khách (4 tầng),"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",,,,,,,,,106.704733,10.776988,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,Phòng riêng,1 phòng (20 khách),,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,Chỗ để xe máy,Tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,THỨ HAI,11:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,THỨ BA,11:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,,,,nha-hang-con-voi-vang-34-hai-ba-trung-quan-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-normal-120650962.webp,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,,,,nha-hang-con-voi-vang-34-hai-ba-trung-quan-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-con-voi-vang-34-hai-ba-trung-quan-2-normal-1215371572.webp,,,
https://pasgo.vn/nha-hang/nha-hang-con-voi-vang-34-hai-ba-trung-quan-1-391,,,,,,,,,,,,,,,,,,,,nha-hang-con-voi-vang-34-hai-ba-trung-quan-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-con-voi-vang-34-hai-ba-trung-quan-3-normal-120646160.webp,,,
