URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,Khè Zone - Đồng Nai,"Số 1 Đồng Nai, Phường 15, Quận 10",Gọi món nướng lẩu Hải Sản,150.000 - 250.000,11h00 - 24h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,"Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…","Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…",Phong cách Nhật Bản, 200 khách (4 tầng),"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",,,,,,,,,106.66442,10.777181,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,Phòng riêng,1 phòng (20 khách),,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,Chỗ để xe máy,Tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,THỨ HAI,11:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,THỨ BA,11:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-1-normal-1825248021347.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-2-normal-1825248721348.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-3-normal-1825249321349.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-4-normal-1825249421350.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-5-normal-1825249521351.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-6-normal-1825250221352.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-7-normal-1825250321353.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-8-normal-1825250421354.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,nha-hang-khe-zone-dong-nai-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-9-normal-1854552621355.webp,,,
https://pasgo.vn/nha-hang/nha-hang-khe-zone-dong-nai-2200,,,,,,,,,,,,,,,,,,,,"nha-hang-khe-zone-dong-nai-10 
: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-khe-zone-dong-nai-10-normal-1854553321356.webp",,,
