URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,Nhà Hàng Rơm BBQ,"2 - 4 - 6 Lưu Văn Lang, Q. 1",Món nướng,250.000 – 280.000 vn,"10h:30 - 13h:30, 17h:30 - 20h:30",,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,"Đặt tiệc, liên hoan, tiếp khách, sinh nhật, bạn bè, gia đình...","Bánh tôm Hồ Tây, Chả cốm, Bánh đa cua Hải Phòng, Mì Quảng, Cao lầu Hội An, Bún chả cá Nha Trang, Bánh xèo, Bánh khọt, Gỏi củ hũ dừa, Rau muống xào chao ớt, Bánh canh giò heo Trảng Bàng, Bún mắm Châu Đốc...",Kiến trúc nhà rường xưa ở Huế, 350 khách (02 tầng),Thực đơn phong phú hơn 300 món ăn 3 miền đặc trưng.,,,,,,,,,106.699365,10.773577,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,Chỗ để xe ô tô,Đậu xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,,,Thứ hai,15:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,,,Thứ ba,15:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,,,Thứ tư,15:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,,,Thứ năm,15:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,,,Thứ sáu,15:00,22:00,,,,
https://pasgo.vn/nha-hang/nha-hang-rom-bbq-luu-van-lang-quan-1-942,,,,,,,,,,,,,,,,,Thứ bảy,15:00,22:00,,,,
