URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,Sài Gòn Xưa Và Nay – Nguyễn Trung Trực,"37 Nguyễn Trung Trực, P. Bến Thành, Q. 1",Gọi món Việt (Chuyên hải sản),220.000 - 300.000,10h00 – 02h00 sáng hôm sau,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,"Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…","Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…",Phong cách kiến trúc Âu – Á, 200 khách (2 tầng),Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,,,,,,,,,106.697408,10.775424,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi giữ xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,THỨ HAI,10:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,THỨ BA,10:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1-normal-12127226686.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-2-normal-12087226687.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-3-normal-12129786688.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-4-normal-12150236689.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-5-normal-12109196690.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-6-normal-12063276691.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-7-normal-12095696692.webp,,,
https://pasgo.vn/nha-hang/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-1106,,,,,,,,,,,,,,,,,,,,nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sai-gon-xua-va-nay-37-nguyen-trung-truc-quan-1-8-normal-12153016693.webp,,,
