URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,ST Rooftop – Võ Văn Kiệt,"Lầu 9 (tầng thượng), Toà nhà Samco, Số 326 Võ Văn Kiệt, P.Cô Giang, Q. 1",Gọi món Việt,150.000 – 250.000,17h00 – 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,"Gia đình, bạn bè, họp nhóm...","Thịt heo hai đầu da cuốn, Bún mắm nêm, Bánh bèo chén, Bánh đúc nóng...",Phong cách tối giản - bán cổ điển, 60 khách (02 tầng),"Điểm đặc trưng: Quán Cuốn Saigon chuyên món cuốn, đặc biệt là các món cuốn mang hương vị miền Trung.",,,,,,,,,106.69468,10.76024,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,Chỗ để xe ô tô,Không,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ HAI,17:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ BA,17:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-1-normal-617967133207.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-2-normal-617967233208.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-3-normal-617967333209.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-4-normal-617967433210.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-5-normal-617967533211.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-6-normal-617967633212.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-7-normal-617967733213.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-8-normal-617967833214.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-9-normal-617967933215.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-10-normal-617968233217.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-11-normal-617968333218.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-12-normal-617968533219.webp,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vanth/STrooftop/1.jpg
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vanth/STrooftop/2.jpg
