URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,Sushi KO - Lê Thánh Tôn,"26/1 Lê Thánh Tôn, P. Bến Nghé, Q. 1",Gọi món Nhật Bản,150.000 - 250.000,11h00 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,"Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…","Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…",Phong cách Nhật Bản, 200 khách (4 tầng),"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",,,,,,,,,106.703899667822,10.7803332465252,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,Phòng riêng,1 phòng (20 khách),,,,,,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,Chỗ để xe máy,Tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,THỨ HAI,11:00,22:00,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,THỨ BA,11:00,22:00,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,22:00,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,22:00,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,22:00,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,
https://pasgo.vn/nha-hang/sushi-ko-le-thanh-ton-4521,,,,,,,,,,,,,,,,,,,,nha-hang-sushi-ko-le-thanh-ton-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-sushi-ko-le-thanh-ton-1-normal-2099476851525.webp,,,
