URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,The Dome Steak House - Little Saigon,"Tầng 2, toà nhà Little Saigon, 02 Đồng Khởi, P. Bến Nghé, Q. 1",Gọi món Âu,300.000 - 700.000, 09h00 – 14h00 và 17h00 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.706274,10.77353,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,,,THỨ HAI,17:00,22:00,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,,,THỨ BA,17:00,22:00,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,22:00,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,22:00,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,22:00,,,,
https://pasgo.vn/nha-hang/the-dome-steak-house-little-saigon-4219,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,22:00,,,,
