URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,Yen Sushi & Sake Pub - Nam Kỳ Khởi Nghĩa,"92 Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Q. 1",Gọi món Nhật Bản,400.000 - 500.000,10h30 - 14h00 & 17h00 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,"Gặp mặt, liên hoan, họp nhóm, gia đình,…..","Các loại bánh Huế: Bánh bèo, bánh nậm, bánh lọc, bánh cuốn thịt nướng…; Cơm sen chay, Cơm sen bò, Cơm đùi gà rô ti, Cơm chiên cá mặn…; Bún bò, Bún thịt nướng, Nem lụi; Các món gỏi; Lẩu bò, Lẩu hải sản; Các loại chè Huế...",Hiện đại, 50 khách,"Chuỗi nhà hàng Hue Delights chuyên phục vụ các món ăn Huế, được sáng lập bởi nghệ nhân ẩm thực Phan Tôn Tuệ Minh – người có xuất thân từ gia đình dòng dõi hoàng tộc và có nhiều người là nghệ nhân, chuyên gia ẩm thực hàng đầu Việt Nam.",,,,,,,,,106.70078,10.772262,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,THỨ HAI,17:00,22:00,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,THỨ BA,17:00,22:00,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,22:00,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,22:00,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,22:00,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,22:00,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,22:00,,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,,,,yen-sushi-sake-pub-92-nam-ky-khoi-nghia-11: https://pasgo.vn/Upload/anh-chi-tiet/yen-sushi-sake-pub-92-nam-ky-khoi-nghia-1-normal-12346287025.webp,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,,,,yen-sushi-sake-pub-92-nam-ky-khoi-nghia-2: https://pasgo.vn/Upload/anh-chi-tiet/yen-sushi-sake-pub-92-nam-ky-khoi-nghia-2-normal-12346297026.webp,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,,,,yen-sushi-sake-pub-92-nam-ky-khoi-nghia-3: https://pasgo.vn/Upload/anh-chi-tiet/yen-sushi-sake-pub-92-nam-ky-khoi-nghia-3-normal-12346307027.webp,,,
https://pasgo.vn/nha-hang/yen-sushi-and-sake-pub-92-nam-ky-khoi-nghia-quan-1-1149,,,,,,,,,,,,,,,,,,,,yen-sushi-sake-pub-92-nam-ky-khoi-nghia-4: https://pasgo.vn/Upload/anh-chi-tiet/yen-sushi-sake-pub-92-nam-ky-khoi-nghia-4-normal-12346317028.webp,,,
