URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,Anrakutei Japanese BBQ - Mạc Đĩnh Chi,"Số 59 Mạc Đĩnh Chi, P. Đa Kao, Q 1","Buffet , Gọi món nướng Nhật Bản",200.000 - 300.000,11h00 -  22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,"Tụ họp, gặp mặt, bạn bè, gia đình...","Bò Wagyu, Dẻ sườn bò, Sườn bò có xương, Gầu bò, Bắp bò, Ba chỉ heo, Vú heo...",Nhật Bản hiện đại, 50 khách (02 tầng),"- Thương hiệu Anrakutei - chuyên thịt nướng, ra đời và phát triển với hệ thống hơn 230 nhà hàng tại Nhật Bản, nay đã có mặt tại Sài Gòn. Anrakutei sẽ mang đến cho bạn những món ăn ngon, chất lượng cùng những trải nghiệm chân thực về văn hóa ẩm thực xứ hoa anh đào.
- Nổi tiếng nhất ở đây là các món thịt bò nướng thượng hạng",,,,,,,,,106.696599,10.787179,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,Phòng riêng,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,THỨ HAI,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,THỨ BA,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-1-normal-1234412143079.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-2-normal-1234412643080.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-3-normal-1307271043081.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-4-normal-1307271343082.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-5-normal-1307271443083.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-6-normal-1307272343084.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-7-normal-1307272543085.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-8-normal-1234415043086.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-9-normal-1234415243087.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-10-normal-1234415443088.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/anrakutei-japanese-bbq-mac-dinh-chi-3799,,,,,,,,,,,,,,,,,,,,nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-anrakutei-japanese-bbq-mac-dinh-chi-11-normal-1234415743089.webp,,,,,,,,,,,,,,,
