URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,Basta Hiro - Pizza & Pasta - Vincom Đồng Khởi,"Tầng B3, B3 – 06, Vincom Đồng Khởi, 72 Lê Thánh Tôn, P. Bến Nghé, Q. 1",Gọi món Ý,200.000 - 400.000,10h30 – 21h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,"Tụ họp, gặp mặt, họp nhóm, sinh nhật, gia đình...","Fresh Cherabin Spaghetti, Salmon Steak, Ontama Bolognese Spaghetti, Pesto Seafood, Cheese Platter, Ceasar Salad…",Italia hiện đại, 80 khách,"Basta Hiro được sáng lập bởi Hiromi Yamada - đầu bếp nổi tiếng người Nhật với tài năng đặc biệt trong việc sáng tạo các món Ý. Là người đã viết ra hàng chục cuốn sách về món Ý, ông là một trong những đầu bếp huyền thoại góp phần mang lại sự kết hợp tinh tế giữa hai phong cách Ý - Nhật.",,,,,,,,,106.701822,10.778207,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,THỨ HAI,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,THỨ BA,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,THỨ TƯ,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,THỨ NĂM,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,THỨ SÁU,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,THỨ BẢY,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-1-normal-1177119642227.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-2-normal-1177119842228.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-3-normal-1177120542229.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-4-normal-1177121042230.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-5-normal-1177121342231.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-6-normal-1177121442232.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-7-normal-1177121642233.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-8-normal-1177121842234.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-9-normal-1177121942235.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-10-normal-1177122542236.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-11-normal-1177124842237.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,nha-hang-basta-hiro-pasta-&-pizza-vincom-dong-khoi-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-basta-hiro-pasta-and-pizza-vincom-dong-khoi-12-normal-1177124942238.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-1.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-2.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-3.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-4.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-5.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-6.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-7.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-8.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-9.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-10.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-11.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-12.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-13.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-14.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/duonglong/basta%20hiro/menu-basta-hiro-15.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Espresso,54000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Americano (hot/ice),54000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Cappuccino (hot/ice),65000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Latte (hot/ice),65000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Matcha Latte (hot/ice),80000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Coca Cola,26000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Coca Cola Light,26000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Soda,26000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Sprite,26000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Line Soda,42000,,Đồ uống,,,,,,,,
https://pasgo.vn/nha-hang/basta-hiro-vincom-dong-khoi-3740,,,,,,,,,,,,,,,,,,,,,,,,Orange Juice,42000,,Đồ uống,,,,,,,,
