URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,Bếp Ốc Sài Gòn - Hai Bà Trưng,"Số 74/7E Hai Bà Trưng, P. Bến Nghé, Q.1",Chuyên ốc & món hải sản,150.000 - 250.000,11h00 - 23h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,"Khách văn phòng, gặp mặt bạn bè, gia đình, sinh nhật","Ốc len xào dừa, Ốc mỡ xào bơ, Sò huyết sốt sa tế, Răng mực sốt trứng muối, Nghêu hấp xả, Mì gói xào ốc giác sa tế, Hàu sống mù tạt chanh, Cá hồi tái sốt mù tạt…","Hiện đại, trẻ trung", 150 khách,"Chuyên các món ốc, hải sản và món nhậu.",,,,,,,,,106.70363306471,10.7783105452349,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,THỨ HAI,11:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,THỨ BA,11:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-1-normal-1973442550767.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-2-normal-1973442750768.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-3-normal-1973442950769.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-4-normal-1973443150770.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-5-normal-1973443650771.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-6-normal-1973443750772.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-7-normal-1973444850773.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-8-normal-1973444950774.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-9-normal-1973445050775.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-10-normal-1973445650776.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-11-normal-1973446250777.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,nha-hang-bep-oc-sai-gon-hai-ba-trung-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-bep-oc-sai-gon-hai-ba-trung-12-normal-1973446750778.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/bep-oc-sai-gon-hai-ba-trung-4456,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/longg/bếp%20ốc%20sài%20gòn/menu-bep-oc-sai-gon-1.jpg,,,,,,,,,,,,
