URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,Buffet Chay Cỏ Nội - Khách Sạn Bông Sen,"Lầu 7, Khách sạn Bông Sen, 117-123 Đồng Khởi, P. Bến Nghé, Q. 1","Buffet, Gọi món Chay",250.000 - 350.000,10h00 - 16h00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,"Đặt tiệc, tiếp khách, gia đình, bạn bè, sinh nhật...","- Sang trọng, thuần Việt
- Sức chứa: 100 khách
- Phòng riêng: 01 phòng (10-20 khách/phòng)
- Có ban công sân vườn tầng 7 ngắm nhìn con đường Đồng Khởi, Đông Du từ trên cao.","Sang trọng, thuần Việt", 100 khách,,,,,,,,,,106.703745,10.775096,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,Phòng riêng,01 phòng (10-20 khách/phòng),,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe ở đường Đông Du (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe ở đường Đông Du (Phí phụ thuộc đơn vị trông giữ xe,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,THỨ HAI,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,THỨ BA,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,16:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,16:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,16:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,16:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:00,16:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-co-noi-khach-san-bong-sen-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-co-noi-khach-san-bong-sen-1-normal-2372291266456.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-co-noi-khach-san-bong-sen-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-co-noi-khach-san-bong-sen-2-normal-2372291366457.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-co-noi-khach-san-bong-sen-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-co-noi-khach-san-bong-sen-3-normal-2372291466458.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-co-noi-khach-san-bong-sen-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-co-noi-khach-san-bong-sen-4-normal-2372292166459.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-co-noi-khach-san-bong-sen-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-co-noi-khach-san-bong-sen-5-normal-2372292266460.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-chay-co-noi-khach-san-bong-sen-3729,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-co-noi-khach-san-bong-sen-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-co-noi-khach-san-bong-sen-6-normal-2372292466461.webp,,,,,,,,,,,,,,,
