URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,Buffet Gánh - Khách Sạn Bông Sen,"Tầng trệt, 117 - 123 Đồng Khởi, P.Bến Nghé, Q.1",Buffet món Việt,300.000 - 500.000,11h00 - 13h30 &18h00 - 21h00 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,"Đặt tiệc, tiếp khách, sinh nhật, gia đình, bạn bè…","Hải sản, Món gỏi, Món bánh, Món nướng, Món lẩu…",Phong cách dân gian Việt Nam, 180 khách (02 tầng),"Buffet Gánh sở hữu thực đơn trên 50 món đặc sản 3 miền. Đồ ăn được sắp xếp và trưng bày trên những gánh hàng, mang đậm hồn quê Việt Nam, vừa giản dị, gần gũi nhưng cũng vô cùng đẹp mắt và hấp dẫn.",,,,,,,,,106.703692,10.775394,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe cách nhà hàng 50-100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,THỨ HAI,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,THỨ BA,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,THỨ TƯ,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,THỨ NĂM,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,THỨ SÁU,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,THỨ BẢY,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,CHỦ NHẬT,18:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-ganh-khach-san-bong-sen-quan-1-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-ganh-khach-san-bong-sen-1-normal-2370777639430.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-ganh-khach-san-bong-sen-quan-1-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-ganh-khach-san-bong-sen-2-normal-2370777739431.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-ganh-khach-san-bong-sen-quan-1-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-ganh-khach-san-bong-sen-3-normal-2370778439432.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/buffet-ganh---khach-san-bong-sen-1027,,,,,,,,,,,,,,,,,,,,nha-hang-buffet-ganh-khach-san-bong-sen-quan-1-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-buffet-ganh-khach-san-bong-sen-4-normal-2370778539433.webp,,,,,,,,,,,,,,,
