URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,Chạn Bếp - Cách Mạng Tháng 8,"31 Cách Mạng Tháng 8 ,P. Bến Thành, Q. 1",Ẩm thực Việt (đặc sản miền Trung),100.000 - 150.000,07h00-22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,"Tụ họp, gặp mặt, liên hoan, họp nhóm, gia đình,…...","Bún cá ngừ, Bánh canh giò, Cơm gà Phan Rang, Chả cá cuốn bánh tráng đặc biệt, Bánh hỏi lòng heo, Khô cá dứa cơm cháy, Bạch tuộc nhúng ớt hiểm, Lẩu mắm, Lẩu gà lá é...",Phong cách Việt hoài cổ, 100 khách (4 tầng),"Chạn Bếp gợi nhớ đến những bữa cơm nhà thân thương, nơi mang đến cho thực khách những món ăn ngon, sạch và đặc trưng của Phan Rang & vùng Nam Trung Bộ.",,,,,,,,,106.692622,10.771684,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại rạp Trống Đồng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,,,THỨ HAI,07:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,,,THỨ BA,07:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,,,THỨ TƯ,07:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,,,THỨ NĂM,07:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,,,THỨ SÁU,07:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chan-bep-cach-mang-thang-8-3936,,,,,,,,,,,,,,,,,THỨ BẢY,07:00,22:00,,,,,,,,,,,,,,,,
