URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,Chang - Nguyễn Đức Cảnh,"Số SB8-1, Mỹ Khánh 2, Nguyễn Đức Cảnh, Q. 7",Gọi món Thái,100.000 - 150.000,11h00 - 21h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,"Tất cả khách hàng, gia đình, bạn bè, tiếp khách, sinh nhật...","- Bò satsuma A5+ (dùng kèm bánh chanh vàng, cà chua, khoai tây nấu chậm trong mỡ bò Kobe, cà rốt nhỏ)
- Đùi vịt nấu chậm (dùng kèm khoai tây xào tỏi, húng quế, xà lách rocket, sốt mù tạt vàng)
- Cà chua lớn phô mai mozzarella (bánh tart nghìn lớp nhân cà chua, phô mai Mozzarella nhà làm, sốt quế, giấm balsamic, xà lách rocket)
- Súp vàng hải sản kiểu Pháp (Nhụy hoa nghệ tây, cá mú , sò điệp, mực, sốt Aioli)
- Mỳ Ý đen nhà làm (dùng kèm sò điệp, tôm sú biển, vẹm, sốt tôm)
- Súp phở bào ngư gan ngỗng
- Salad trái cây – kem trà xanh bạc hà – bánh quy
- Lưỡi bò","Phong cách Âu, sang trọng, ấm áp", 35 khách,"- Nhà hàng Kobe Bistro do đầu bếp nổi tiếng David Thai làm đầu bếp trưởng. Ông là một chuyên gia về ẩm thực Pháp đương đại. Phong cách đặc trưng của ông là sự pha trộn 2 nền ẩm thực Đông và Tây.
- Món ăn mang hương vị khác biệt và không gian sang trọng, ấm áp đặc trưng tại Kobe Bistro sẽ là một lựa chọn hoàn hảo, ghi dấu ấn khó phai cho bữa tiệc của bạn.",,,,,,,,,106.708501,10.727848,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,,,,,THỨ HAI,11:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,,,,,THỨ BA,11:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/chang-nguyen-duc-canh-4242,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,21:00,,,,,,,,,,,,,,,,
