URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,Cơm Tấm Thuận Kiều - Tôn Thất Tùng,"26 Tôn Thất Tùng, P. Bến Thành, Q. 1",Gọi món Việt,40.000 - 80.000,06h00 - 21h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.689292553973,10.7698219122737,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,,,,,Thứ hai,06:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,,,,,Thứ ba,06:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,,,,,Thứ tư,06:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,,,,,Thứ năm,06:00,21:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/com-tam-thuan-kieu-ton-that-tung-1123,,,,,,,,,,,,,,,,,Thứ sáu,06:00,21:00,,,,,,,,,,,,,,,,
