URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,Cuốn Saigon - Nguyễn Thị Minh Khai,"137/1 NguyễnThị Minh Khai, P. BếnThành, Q. 1",Gọi món Việt (Chuyên món cuốn),80.000 – 200.000,10h00  – 21h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,"Gia đình, bạn bè, họp nhóm...","Thịt heo hai đầu da cuốn, Bún mắm nêm, Bánh bèo chén, Bánh đúc nóng...",Phong cách tối giản - bán cổ điển, 60 khách (02 tầng),"Điểm đặc trưng: Quán Cuốn Saigon chuyên món cuốn, đặc biệt là các món cuốn mang hương vị miền Trung.",,,,,,,,,106.687798,10.771471,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,,,Chỗ để xe ô tô,Không,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,,,,,THỨ HAI,10:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,,,,,THỨ BA,10:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/cuon-saigon-nguyen-thi-minh-khai-3680,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,21:30,,,,,,,,,,,,,,,,
