URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,Dynasty House - Hongkong Dimsum & Hotpot - Đồng Khởi,"Số 2-4-6 Đồng Khởi, P. Bến Nghé, Q. 1",Gọi món Hong Kong,200.000 - 500.000,T2 - T6: 10h30 - 14hh30 & 17h00 - 22h00 và T7 – CN: 09h30 – 14h30 & 17h00 - 22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,"Khách hàng doanh nhân, gia đình, công ty, cặp đôi…","Lẩu xí quách thượng hạng, Lẩu sụn vi cá, Lẩu Satay, Lẩu Mala, Sủi cảo vi cá hầm thượng canh, Hoành thánh sốt cay kiểu Tứ Xuyên, Bào ngư Hải sâm hầm sốt đặc biệt, Canh sụn Cá mập, Bóng cá hầm vi cá trung…","Phong cách Hong Kong, sang trọng", 130 khách,"Kế thừa những tinh hoa ẩm thực xứ Hương Cảng, Dynasty House mang đến thực đơn mang hương vị biến tấu độc đáo, cùng lối kiến trúc Hong Kong truyền thống giao thoa hiện đại đầy khác biệt giữa lòng Sài Gòn.",,,,,,,,,106.705788,10.773702,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,Khu vực chung,90-100 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,Khu vực phòng riêng,3 phòng (30-40 khách),,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,Chỗ để xe ô tô,Trước cửa nhà hàng (Nhà hàng có thu phí gửi),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Nhà hàng có thu phí gửi),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,THỨ HAI,17:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,THỨ BA,17:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-1-normal-1808717849036.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-2-normal-1808718149037.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-3-normal-1808718249038.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-4-normal-1808718649039.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-5-normal-1808718949040.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-6-normal-1808719049041.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-7-normal-1808719149042.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-8-normal-1808719249043.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-9-normal-1808719349044.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-10-normal-1808719449045.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-11-normal-1808719549046.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,nha-hang-dynasty-house-dong-khoi-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-dynasty-house-dong-khoi-12-normal-1808719649047.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vanth/STrooftop/1.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vanth/STrooftop/2.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,CHAWANMUSHI,88000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,CHAWANMUSHI CRAB IN D EGG,178000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,SINGAPORE FAMOUS BABY SQUID,298000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,CHICKEN SATAY,198000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,BEEF SATAY,238000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,SAMBAL LALA,178000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,SAMBAL IKAN BILIS,228000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,SAMBAL COCKLE,268000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,VIETNAMESE PRAWN SPRING ROLLS,138000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,TOFU GORENG,138000,,APPETIZER,,,,,,,,
https://pasgo.vn/nha-hang/dynasty-house-hongkong-dimsum-and-hotpot-dong-khoi-4225,,,,,,,,,,,,,,,,,,,,,,,,CRISPY UFO,148000,,APPETIZER,,,,,,,,
