URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,Happy Lamb Hotpot Restaurant - Trần Hưng Đạo,"Số 329 đường Trần Hưng Đạo, P. Cô Giang, Q. 1",Chuyên Lẩu Trung Hoa,500.000 - 600.000,11h00 - 02h00 sáng hôm sau ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,"Tất cả các loại tiệc, khách hàng văn phòng, gia đình...","Lẩu 2 ngăn, chả cừu ngò rí viên, thịt xiên nướng Mông Cổ, đùi cừu nướng Mông Cổ, cừu nướng nguyên con, bánh hoàng kim, sủi cảo thịt cừu, set mì tươi...","Hiện đại, sang trọng ", 220-230 khách,"- Happy Lamb Hotpot Restaurant là thương hiệu ẩm thực nổi tiếng đến từ Mông Cổ với hơn 100 chi nhánh tại các quốc gia: Trung Quốc, Campuchia, Mỹ... Nhà hàng Happy Lamb Hotpot Restaurant Trần Hưng Đạo là chi nhánh đầu tiên có mặt ở Việt Nam. 
- Nhà hàng chuyên phục vụ gọi món Lẩu Trung Hoa và các món ăn từ thịt cừu độc đáo theo phong cách Mông Cổ.",,,,,,,,,106.690251670958,10.7618411523787,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,Tầng trệt,92 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,Phòng riêng,54 - 60 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,Chỗ để xe ô tô,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,THỨ HAI,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,THỨ BA,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/happy-lamb-hotpot-restaurant-tran-hung-dao-4892,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,23:59,,,,,,,,,,,,,,,,
