URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,Kiba - Food Wine Taste - Phó Đức Chính,"Số 31 Phó Đức Chính, P. Nguyễn Thái Bình, Q. 1",Gọi món Tây Ban Nha,180.000 - 400.000,11h00 – 24h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,"Liên hoan, sinh nhật, tiếp khách, gia đình, bạn bè...","Tôm xông khói, Bánh cá kiểu Mexico, Vịt chiên kiểu Pháp, Dải thăn sườn bò nướng kiểu Nhật, Heo Ibeica, Bò hầm kiểu Indonesia, Cà rốt kiểu Ấn Độ...","Hiện đại, sang trọng", 80 khách (02 tầng),"- Với kinh nghiệm ẩm thực khắp thế giới, đội ngũ quốc tế tại Kiba đã đúc kết những tinh túy ở từng đất nước để sáng tạo nên những hương vị tuyệt vời giới thiệu đến thực khách Sài Gòn.
- Kiba còn tự tạo ra một vườn rau thủy canh riêng tại chính nhà hàng, để cung cấp nguồn rau sạch cho các món ăn của mình.",,,,,,,,,106.700796,10.767733,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,Phòng riêng,01 phòng (12 khách),,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe cách nhà hàng 50m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,THỨ HAI,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,THỨ BA,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-1-normal-1515815346257.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-2-normal-1515815746258.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-3-normal-1515815946259.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-4-normal-1515816346260.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-5-normal-1515816946261.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-6-normal-1515817146262.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-7-normal-1515817746263.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiba---food-wine-taste-pho-duc-chinh-4029,,,,,,,,,,,,,,,,,,,,nha-hang-kiba-food-wine-taste-pho-duc-chinh-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiba-food-wine-taste-pho-duc-chinh-8-normal-1515817946264.webp,,,,,,,,,,,,,,,
