URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,Mộc – Riêu & Nướng - Võ Văn Kiệt,"Số 318 Võ Văn Kiệt, P. Cô Giang, Q. 1",Gọi món Việt,150.000 - 200.000,T2–T7: 11h00 - 21h30 & CN: 15h00 - 21h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,"Tụ họp, gặp mặt, họp nhóm, sinh nhật, gia đình...","Fresh Cherabin Spaghetti, Salmon Steak, Ontama Bolognese Spaghetti, Pesto Seafood, Cheese Platter, Ceasar Salad…",Italia hiện đại, 80 khách,"Basta Hiro được sáng lập bởi Hiromi Yamada - đầu bếp nổi tiếng người Nhật với tài năng đặc biệt trong việc sáng tạo các món Ý. Là người đã viết ra hàng chục cuốn sách về món Ý, ông là một trong những đầu bếp huyền thoại góp phần mang lại sự kết hợp tinh tế giữa hai phong cách Ý - Nhật.",,,,,,,,,106.695849,10.761311,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe tại tầng hầm của TTTM (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,THỨ HAI,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,THỨ BA,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,CHỦ NHẬT,15:00,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-1-normal-1147736316470.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-2-normal-1147737916471.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-3-normal-1147738316472.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-4-normal-1147739116473.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-5-normal-1147739816474.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-6-normal-1147740616475.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-7-normal-1147741316476.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-8-normal-1147741416477.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-9-normal-1147741916478.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-10-normal-1147742416479.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-11-normal-1147742816480.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,nha-hang-moc-rieu-nuong-vo-van-kiet-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-moc-rieu-nuong-vo-van-kiet-12-normal-1147743016481.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vuvu/mocrieunuong/nha-hang-moc-rieu-nuong-menu-1.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/moc-rieu-and-nuong-vo-van-kiet-1850,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vuvu/mocrieunuong/nha-hang-moc-rieu-nuong-menu-2.jpg,,,,,,,,,,,,
