URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,Liberty Level 9 – Phạm Ngũ Lão,"Lầu 9, Số 265 Phạm Ngũ Lão, P. Phạm Ngũ Lão, Q. 1","Buffet, gọi món Việt, Hải Sản",200.000 - 500.000,"Alacarte: T2 - T4 : 11h00 - 14h00, Buffet: T5-CN: 11h00 - 13h30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.692297,10.768132,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,THỨ HAI,11:00,14:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,THỨ BA,11:00,14:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,14:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,14:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-liberty-level-9-2199,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,14:00,,,,,,,,,,,,,,,,
