URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,Dì Mai - Lê Thị Hồng Gấm,"136-138 Lê Thị Hồng Gấm, P. Nguyễn Thái Bình, Q. 1",Gọi món Việt,200.000 – 300.000,07h00 – 23h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,"Đặt tiệc, liên hoan, tiếp khách, sinh nhật, bạn bè, gia đình...","Bánh tôm Hồ Tây, Chả cốm, Bánh đa cua Hải Phòng, Mì Quảng, Cao lầu Hội An, Bún chả cá Nha Trang, Bánh xèo, Bánh khọt, Gỏi củ hũ dừa, Rau muống xào chao ớt, Bánh canh giò heo Trảng Bàng, Bún mắm Châu Đốc...",Kiến trúc nhà rường xưa ở Huế, 350 khách (02 tầng),Thực đơn phong phú hơn 300 món ăn 3 miền đặc trưng.,,,,,,,,,106.69631,10.767713,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,Chỗ để xe ô tô,Đậu xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe dưới tầng hầm của nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,,,THỨ HAI,07:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,,,THỨ BA,07:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,,,THỨ TƯ,07:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,,,THỨ NĂM,07:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,,,THỨ SÁU,07:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-di-mai-quan-1-1335,,,,,,,,,,,,,,,,,THỨ BẢY,07:00,23:00,,,,,,,,,,,,,,,,
