URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,East West Brewing Co. - Lý Tự Trọng,"181-183-185 Lý Tự Trọng, Phường Bến Thành, Quận 1","Gọi món Âu, Á",200.000 - 500.000,T2 -T4 & CN: 12h00 - 24h00; T5 - T7: 12h00 – 01h00 sáng hôm sau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,"Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…","Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…",Phong cách kiến trúc Âu – Á, 200 khách (2 tầng),Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,,,,,,,,,106.696191,10.772993,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi giữ xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,,,,,THỨ HAI,12:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,,,,,THỨ BA,12:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,,,,,THỨ TƯ,12:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,,,,,THỨ NĂM,12:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-east-west-brewing-ly-tu-trong-2444,,,,,,,,,,,,,,,,,THỨ SÁU,12:00,23:59,,,,,,,,,,,,,,,,
