URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,HUE Restaurant – Hai Bà Trưng,"Số 74/7 Hai Bà Trưng, P. Bến Nghé, Q. 1",Gọi món Huế,150.000 - 200.000,11h00 - 22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,"Gia đình, bạn bè, liên hoan nhóm","Bún bò Huế, Vả trộn tôm thịt, Nem nướng, Chả giò chạo tôm, Bánh Khoái, Phở Sắn Quế Sơn với gà xào nghệ, Bánh canh HUE với tôm và chả cua, Bánh bèo tôm, Chả giò cuốn bánh tráng","Hiện đại, trẻ trung",70 khách,"- Nhà hàng HUE thuộc tập đoàn HTGroup – tập đoàn sở hữu nhiều thương hiệu ẩm thực khác như: Hoa Túc, TukTuk, Chị Hoa, ANH TUKK.
- Nguyên liệu tươi ngon sử dụng trong ngày. Màu sắc của món ăn được chiết xuất từ các loại lá, củ (lá cẩm, lá é, củ dền…) hoàn toàn từ thiên nhiên.",,,,,,,,,106.703647,10.778556,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,Chỗ để xe ô tô,Không,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,THỨ HAI,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,THỨ BA,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-1-normal-834309037866.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-2-normal-834309337867.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-3-normal-834309537868.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-4-normal-834310237869.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-5-normal-834310337870.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-6-normal-834310537871.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-7-normal-834310737872.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-hue-hai-ba-trung-quan-1-3417,,,,,,,,,,,,,,,,,,,,nha-hang-hue-hai-ba-trung-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-hue-hai-ba-trung-8-normal-834310837873.webp,,,,,,,,,,,,,,,
