URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,Lion City - Lê Anh Xuân,"Số 42 Lê Anh Xuân, Q. 1",Gọi món Singapore,150.000 - 350.000,10h30 – 21h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,"Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…","Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…",Phong cách kiến trúc Âu – Á, 200 khách (2 tầng),Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,,,,,,,,,106.69516185915,10.7722756433364,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi giữ xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,,,,,THỨ HAI,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,,,,,THỨ BA,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,,,,,THỨ TƯ,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,,,,,THỨ NĂM,10:30,21:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-lion-city-le-anh-xuan-4336,,,,,,,,,,,,,,,,,THỨ SÁU,10:30,21:30,,,,,,,,,,,,,,,,
