URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,Mandarine - Ngô Văn Năm,"11A Ngô Văn Năm, P. Bến Nghé, Q. 1",Gọi món Việt,500.000 - 1.100.000,11h30 - 14h00 & 17h30 - 22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,"Tụ họp bạn bè, cặp đôi, liên hoan, sinh nhật,…","Các loại rượu Whisk(e)y từ khắp thế giới, cocktails sáng tạo, cigars, các món snack nhẹ như Các loại phô mai; Các loại thịt nguội xông khói; Da heo chiên giòn dùng kèm sốt chili mayo; Trứng hồng đào bọc thịt heo, nấm Truffle đen…",Hiện đại, 30 khách,"- Firkin Bar với phong cách lịch lãm và hiện đại mang đến danh sách đồ uống ấn tượng được tạo nên bởi các bartender chuyên nghiệp, đặc biệt là các loại Whisk(e)y; kết hợp cùng những món Âu nhẹ nhàng, tinh tế sẽ là những gợi ý hoàn hảo không thể bỏ qua.",,,,,,,,,106.706126,10.781125,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,THỨ HAI,17:30,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,THỨ BA,17:30,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,THỨ TƯ,17:30,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,THỨ NĂM,17:30,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,THỨ SÁU,17:30,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,THỨ BẢY,17:30,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:30,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,,,,nha-hang-madarine-quan-1-slide-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-madarine-quan-1-slide-1-normal-124593912094.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,,,,nha-hang-madarine-quan-1-slide-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-madarine-quan-1-slide-2-normal-124594012095.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,,,,nha-hang-madarine-quan-1-slide-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-mandarine-ngo-van-nam-slide-3up-normal-124786212096.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,,,,nha-hang-madarine-quan-1-slide-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-madarine-quan-1-slide-4-normal-124594212097.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-mandarine-restaurant-saigon-quan-1-1533,,,,,,,,,,,,,,,,,,,,nha-hang-madarine-quan-1-slide-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-madarine-quan-1-slide-5-normal-124594312098.webp,,,,,,,,,,,,,,,
