URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,Nhà hàng Nướng No.1 - Thành Thái,"158 Thành Thái, P. 12, Q. 10",Buffet nướng lẩu,150.000 - 220.000,11h00 - 14h00 & 18h00 - 22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.664039,10.775472,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,THỨ HAI,18:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,THỨ BA,18:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,THỨ TƯ,18:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,THỨ NĂM,18:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,THỨ SÁU,18:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,THỨ BẢY,18:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,CHỦ NHẬT,18:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,,,,nha-hang-suon-no-1-thanh-thai-quan-10-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-suon-no-1-thanh-thai-quan-10-1-normal-12174716542.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,,,,Nha-hang-suon-no-1-suon-number-1-quan-10-7a: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-suon-no-1-thanh-thai-quan-10-2-normal-12174726543.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-nuong-no-1-thanh-thai-quan-10-1089,,,,,,,,,,,,,,,,,,,,nha-hang-suon-no-1-thanh-thai-quan-10-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-suon-no-1-thanh-thai-quan-10-3-normal-12174756544.webp,,,,,,,,,,,,,,,
