URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,Shang Garden - Tôn Thất Tùng,"Số 1A Tôn Thất Tùng, P. Phạm Ngũ Lão, Q. 1",Gọi món Trung Hoa,350.000 - 500.000,08h00 - 14h30; 17h30 – 22h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.68916,10.76931,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,THỨ HAI,17:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,THỨ BA,17:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,THỨ TƯ,17:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,THỨ NĂM,17:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,THỨ SÁU,17:30,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-shang-garden-ton-that-tung-3003,,,,,,,,,,,,,,,,,THỨ BẢY,17:30,22:30,,,,,,,,,,,,,,,,
