URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,ST Rooftop – Võ Văn Kiệt,"Lầu 9 (tầng thượng), Toà nhà Samco, Số 326 Võ Văn Kiệt, P.Cô Giang, Q. 1",Gọi món Việt,150.000 – 250.000,17h00 – 23h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,"Gia đình, bạn bè, họp nhóm...","Thịt heo hai đầu da cuốn, Bún mắm nêm, Bánh bèo chén, Bánh đúc nóng...",Phong cách tối giản - bán cổ điển, 60 khách (02 tầng),"Điểm đặc trưng: Quán Cuốn Saigon chuyên món cuốn, đặc biệt là các món cuốn mang hương vị miền Trung.",,,,,,,,,106.69468,10.76024,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,Chỗ để xe ô tô,Không,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ HAI,17:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ BA,17:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,23:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-1-normal-617967133207.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-2-normal-617967233208.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-3-normal-617967333209.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-4-normal-617967433210.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-5-normal-617967533211.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-6-normal-617967633212.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-7-normal-617967733213.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-8-normal-617967833214.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-9-normal-617967933215.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-10-normal-617968233217.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-11-normal-617968333218.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,nha-hang-st-rooftop-vo-van-kiet-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-st-rooftop-vo-van-kiet-12-normal-617968533219.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vanth/STrooftop/1.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/vanth/STrooftop/2.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Khoai tây chiên,43000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Khoai môn chiên,43000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Chả ram tôm đất,58000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Đậu hũ gói giấy bạc,88000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Khô mực chiên nước mắm,129000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Bắp xào tôm khô trứng muối,53000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Cơm cháy chiên chà bông tôm,58000,,Khai vị,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên cua trứng muối,78000,,Cơm/Mì,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên trứng tươi,63000,,Cơm/Mì,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Cơm chiên ST,78000,,Cơm/Mì,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Hủ tiếu áp chảo bò/hải sản,88000,,Cơm/Mì,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Mì trứng xào bò/hải sản,88000,,Cơm/Mì,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Salad trộn sốt chanh,48000,,Rau/Salad,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Salad bò/cá ngừ sốt chanh,69000,,Rau/Salad,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Gỏi bò/hải sản sốt Thái,82000,,Rau/Salad,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Rau lang/Rau muống xào tỏi,48000,,Rau/Salad,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Đọt su su xào tỏi/Xào bò,62000,,Rau/Salad,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Rau luộc thập cẩm kho quẹt/lòng đào,88000,,Rau/Salad,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Rau rừng xào tỏi,68000,,Rau/Salad,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Cá lăng nướng muối/muối ớt,259000,,Cá/Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Bạch tuộc nướng muối ớt,138000,,Cá/Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Bạch tuộc nhúng ớt/giấm,138000,,Cá/Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Mực rang muối,138000,,Cá/Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Tôm sú sốt Thái,118000,,Cá/Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Tôm sú nướng muối ớt,118000,,Cá/Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Tôm rang muối,118000,,Cá/Hải sản,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Lẩu gà tiềm ớt hiểm,168000,,Lẩu,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Lẩu gà nấm đông cô,168000,,Lẩu,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Lẩu Thái hải sản,239000,,Lẩu,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Lẩu cá tra dầu,88000,,Lẩu,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Nhúng mè/giấm (theo ký),790000,,Lẩu,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Lẩu cá lăng nấu ngót,279000,,Lẩu,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Tiger nâu/bạc (lon),21000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Heineken (lon),22000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Budweiser (chai),22000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Hoegaarden (chai),35000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Hoegaarden draught (ly/tháp),210000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Singha (lon),22000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Nước suối/ngọt,18000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Soda chanh đường,30000,,Bia/Thức uống,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Rau sống ăn lẩu,20000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Mì gói/bún ăn thêm,10000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Trái cây dĩa,30000,,Món phụ,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-st-rooftop-vo-van-kiet-3082,,,,,,,,,,,,,,,,,,,,,,,,Thuốc lá 555 (Việt),35000,,Món phụ,,,,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,Mực rang muối# Khoai tây chiên,138000# 43000,# ,Cá/Hải sản# Khai vị,Combo 1,181000,2024-11-27 08:51:00,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,Hủ tiếu áp chảo bò/hải sản# Tôm sú nướng muối ớt# Trái cây dĩa# Tôm sú sốt Thái,88000# 118000# 30000# 118000,# # # ,Cơm/Mì# Cá/Hải sản# Món phụ# Cá/Hải sản,Combo 2,354000,2024-11-27 08:51:00,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,Khoai môn chiên# Trái cây dĩa,43000# 30000,# ,Khai vị# Món phụ,Combo 3,73000,2024-11-27 08:51:00,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,Rau rừng xào tỏi# Tôm rang muối# Cơm chiên ST# Đậu hũ gói giấy bạc,68000# 118000# 78000# 88000,# # # ,Rau/Salad# Cá/Hải sản# Cơm/Mì# Khai vị,Combo 4,352000,2024-11-27 08:51:00,,,,,
/Users/LENOVO/Desktop/selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,Rau rừng xào tỏi# Mì gói/bún ăn thêm# Lẩu gà tiềm ớt hiểm,68000# 10000# 168000,# # ,Rau/Salad# Món phụ# Lẩu,Combo 5,246000,2024-11-27 08:51:00,,,,,
C:\Users\LENOVO\Desktop\selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"Chef Marcelo rất dễ thương và đẹp trai quá trời. Còn Chị Ngân cũng cực kì dễ thương và nhiệt tình, chị hỗ trợ từ a tới z. Đồ ăn rất ngon và trang trí rất đẹp mắt. Mọi thứ rất tuyệt vời.","https://media-cdn.tripadvisor.com/media/photo-w/2d/5c/4b/fa/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5c/4b/f9/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5c/4b/f8/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-w/2d/5c/4b/f7/caption.jpg",2024-09-05,2024-09-30
C:\Users\LENOVO\Desktop\selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Tôi cùng vài ngừoi bạn vào Sài Gòn chơi nhưng chỉ mình tôi là tín đồ Bánh Mỳ vì vậy tôi tìm tiệm bánh mỳ ngon trên mạng để trải nghiệm và đương nhiên Bánh Mỳ Huỳnh Hoa xuất hiện rất nhiều nên tôi quyết định đến thử, khi tôi đến nơi đã thấy 1 hàng dài xếp chờ mua bánh và ko biết bánh ở đây ngon cỡ nào mà nhiều ngừoi đến vậy. Tôi chờ khá lâu và cũng đến lượt để mua bánh sau háo hức nhưng khi tôi nhìn thấy đồ bày bên trong tủ kính đã khá thất vọng vì nhân bánh chẳng có gì khác biệt ngoài pate, thịt nguội, giò vài thứ rau khác chỉ có bánh mỳ là được làm ở đây, tôi là ngừoi đã tìm hiểu các món ăn ở nhiều nơi có tiếng nên tôi hiểu chất lượng những nguyên liệu đều được nhập về để làm đựa vào may mắn có đảm bảo hay không. Tôi đã quyết định thử nhân pate và thịt nguội, nhân viên nói như quát vào mặt tiền trước 42.000 như thể nhanh lên còn tiếp người khác trong khi tôi đã order chỉ 1 câu, tôi đã nghĩ mình vào nhầm quán giống như bún chửi phở chửi ở Hà Nội. Rất nhanh nhân viên đưa tôi 1 ổ bánh mỳ, tôi kịp hỏi có phải của tôi ko, nhân viên quay mặt chẳng thèm để ý. Tôi cũng thử xem sao và mỗi 1 miếng là 1 nỗi thất vọng tràn trề sau bao thời gian chờ đợi háo hức, tôi đã nghĩ chả hiểu nó cho cái quái gì vào bánh mỳ: cay như nhuốt phải cục than đỏ, đắng như mật vịt, nhợ nhợ chẳng có 1 chút gì ngon miệng, tôi cố ăn thêm đêan nửa cái xem có phải ăn chỗ khác khá hơn và càng thất vọng hơn. Tôi ném nửa chiếc bánh vào sọt rác, mất hết niềm tin vào bánh mỳ Sài Gòn có tiếng. Kinh khủng hơn cả tối mình thấy bụng khó chịu và sáng hôm sau thì tiêu chảy. Phải chăng nó tiếng vì trước đây nó chưa đông khách nên làm cẩn thận hơn hay phải chăng nó có tiếng vì giờ Sài Gòn có ""bánh mỳ chửi"" làm ngừoi ta tò mò đến xếp hàng để thử nhưng dù sao thì làm ăn mà không giữ thương hiệu thì cũng phá sản sớm thôi. Review trên mạng ư, tôi cũng là ngừoi làm ngành dịch vụ tôi thừa hiểu nhờ ngừoi quen viết giúp cho đánh giá thì dễ thôi. Tôi viết để các tín đồ của bánh mỳ không đơn độc và bỏ phí thời gian, sức khoẻ vào tiệm bánh mỳ này.",,2019-07-10,2019-07-31
C:\Users\LENOVO\Desktop\selenium\restaurant_data_nha-hang-st-rooftop-vo-van-kiet-3082.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,"The restaurant set up so elegant with renaissance style.
foie gras is so delicious. Sous vide steak is excellent. So juicy and tender. Price is so affordable.","https://media-cdn.tripadvisor.com/media/photo-w/28/f7/c6/15/caption.jpg
https://media-cdn.tripadvisor.com/media/photo-m/1280/28/f7/c6/16/caption.jpg",2023-04-30,2023-04-30
