URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,Nossa Steakhouse - Phạm Hồng Thái,"Số 36 Phạm Hồng Thái, P. Bến Thành, Q. 1",Gọi món Âu,300.000 - 450.000,T2-T6: 17h00-22h30 &  T7-CN: 11h00 - 14h00 & 17h00 - 22h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,"Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…","Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…",Phong cách kiến trúc Âu – Á, 200 khách (2 tầng),Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,,,,,,,,,106.695769,10.771284,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi giữ xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,THỨ HAI,17:00,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,THỨ BA,17:00,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,THỨ TƯ,17:00,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,THỨ NĂM,17:00,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,THỨ SÁU,17:00,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,THỨ BẢY,17:00,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,CHỦ NHẬT,17:00,22:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-1: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-1-normal-2218520711790.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-2: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-2-normal-2218520811791.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-3: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-3-normal-2218520911792.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-4: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-4-normal-2218521111793.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-5: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-5-normal-2218521211794.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-6: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-6-normal-2218521311795.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-7: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-7-normal-2218521411796.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-8: https://pasgo.vn/Upload/anh-chi-tiet/nossa-steakhouse-pham-hong-thai-8-normal-2218521811797.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nossa-steakhouse-pham-hong-thai-quan-1-1510,,,,,,,,,,,,,,,,,,,,nha-hang-nossa-steakhouse-pham-hong-thai-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-nossa-steakhouse-slide-9up-normal-124438011798.webp,,,,,,,,,,,,,,,
