URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,Phố 79 - Sương Nguyệt Ánh,"79 Sương Nguyệt Ánh, P. Bến Thành, Q. 1",Gọi món Việt,399.000 - 1.000.000,09h30 - 23h30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,"Gặp gỡ đối tác, liên hoan, tiệc công ty, tụ họp bạn bè, gia đình, sinh nhật","Lẩu riêu cá chép, Xôi 79, Sườn bò 79, Gỏi sò huyết ốc tương, Bào ngư sốt nấm đông cô và dầu hào, Miến cua tay cầm, Set 79 Sashimi, Lẩu Samurai 79…",Xe ô tô: Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe), Bãi xe tại nhà hàng (Miễn phí),"Với thương hiệu gần 12 năm gây dựng, Phố 79 mang tới những trải nghiệm ẩm thực cao cấp, đậm dấu ấn riêng cùng kiến trúc không gian sang trọng, góp phần tạo nên thành công cho mỗi bữa tiệc đẳng cấp của khách hàng.",,,,,,,,,106.688927193084,10.7714797654148,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe tại nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe tại nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,THỨ HAI,09:30,23:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,THỨ BA,09:30,23:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,THỨ TƯ,09:30,23:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,THỨ NĂM,09:30,23:30,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/pho-79-suong-nguyet-anh-4516,,,,,,,,,,,,,,,,,THỨ SÁU,09:30,23:30,,,,,,,,,,,,,,,,
