URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,Nhà Hàng Sâm Ngọc Linh - Phố đi bộ Nguyễn Huệ,"Số 102-104, Mạc Thị Bưởi, P. Bến Nghé, Q. 1",Gọi món Á - Âu,120.000 - 250.000,09:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,"Đặt tiệc, tiếp khách, gia đình, bạn bè, sinh nhật...","- Sang trọng, thuần Việt
- Sức chứa: 100 khách
- Phòng riêng: 01 phòng (10-20 khách/phòng)
- Có ban công sân vườn tầng 7 ngắm nhìn con đường Đồng Khởi, Đông Du từ trên cao.","Sang trọng, thuần Việt", 100 khách,,,,,,,,,,106.7037929,10.7745054,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,Phòng riêng,01 phòng (10-20 khách/phòng),,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,Chỗ để xe ô tô,Để xe ở đường Đông Du (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe ở đường Đông Du (Phí phụ thuộc đơn vị trông giữ xe,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,,,Thứ hai,09:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,,,Thứ ba,09:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,,,Thứ tư,09:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,,,Thứ năm,09:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,,,Thứ sáu,09:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,,,Thứ bảy,09:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/sam-ngoc-linh-pho-di-bo-nguyen-hue-5621,,,,,,,,,,,,,,,,,Chủ nhật,09:00,22:00,,,,,,,,,,,,,,,,
