URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,Soul Bến Thành - Thủ Khoa Huân,"Số 07 Thủ Khoa Huân, P. Bến Thành, Q. 1",Gọi món Việt,250.000 - 500.000,08h00 - 02h00 dêm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,"Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…","Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…",Phong cách kiến trúc Âu – Á, 200 khách (2 tầng),Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,,,,,,,,,106.697453200518,10.7732941061603,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi giữ xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,THỨ HAI,08:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,THỨ BA,08:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,THỨ TƯ,08:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,THỨ NĂM,08:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,THỨ SÁU,08:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,THỨ BẢY,08:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/soul-ben-thanh-thu-khoa-huan-3804,,,,,,,,,,,,,,,,,CHỦ NHẬT,08:00,23:59,,,,,,,,,,,,,,,,
