URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,The 99 Lounge - Nguyễn Thị Minh Khai,"Tầng 15, Lapen Asset Building, 99 Nguyễn Thị Minh Khai, P. Bến Thành, Q. 1",Chuyên về Cocktail,150.000 - 250.000,16h00 - 01h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,KHÔNG GIAN:,- Kiến trúc sân vườn,,100 khách,,,,,,,,,,106.6883364,10.772024,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,THỨ HAI,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,THỨ BA,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,THỨ TƯ,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,THỨ NĂM,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,THỨ SÁU,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,THỨ BẢY,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,CHỦ NHẬT,16:00,23:59,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 1: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-1-normal-2265023958547.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 2: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-2-normal-2265024058548.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 3: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-3-normal-2265024158549.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 4: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-4-normal-2265024258550.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 5: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-5-normal-2265024458551.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 6: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-6-normal-2265024658552.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 7: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-7-normal-2265024758553.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,The 99 Lounge - Nguyễn Thị Minh Khai 8: https://pasgo.vn/Upload/anh-chi-tiet/the-99-lounge-ntmk-8-normal-2265024858554.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-1.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-2.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-3.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-4.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-5.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-6.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-7.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/Phong%20hiếu/The%2099%20Lounge%20-%20NTMK/menu-the-99-lounge-NTMK-8.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,,Bí tròn,780000,,DARKSIDE,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,,Bí hồ lô,710000,,DARKSIDE,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,,Dưa lưới,710000,,DARKSIDE,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,,Trái thơm,710000,,DARKSIDE,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,,Dưa hấu,690000,,DARKSIDE,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,,Dừa,630000,,DARKSIDE,,,,,,,,
https://pasgo.vn/nha-hang/the-99-lounge-nguyen-thi-minh-khai-5033,,,,,,,,,,,,,,,,,,,,,,,,Dưa hấu,640000,,JAM,,,,,,,,
