URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages,FoodName,PriceFood,MoTaFood,DanhMuc,TenCombo,GiaComBo,ThoiGianTaoCombo,Rate,ReviewText,PhotoReview,StayDate,CreateDate
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,Unatoto - Trương Định,"Số 56- 58/12 Trương Định, P. Bến Thành, Q. 1",Gọi món Nhật Bản,200.000 - 300.000,11h00 - 22h00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,"Họp mặt bạn bè, liên hoan, đặt tiệc, gia đình, tiếp khách…","Cháo ếch Singapore, Cua sốt ớt Singapore, Các món cari, Các món Sambal, Hải sản tươi sống…",Phong cách kiến trúc Âu – Á, 200 khách (2 tầng),Giữ nguyên hương vị truyền thống Singapore và sự kết hợp hài hòa với các nền văn hóa ẩm thực đa dạng.,,,,,,,,,106.695769095739,10.772557729145,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi giữ xe cách nhà hàng 100m (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,Chỗ để xe máy,Trước cửa nhà hàng (Miễn phí),,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,Thứ hai,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,Thứ ba,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,Thứ tư,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,Thứ năm,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,Thứ sáu,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,Thứ bảy,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,Chủ nhật,11:00,22:00,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 1: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-1-normal-2285800461103.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 2: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-ben-thanh-2-normal-2285814161104.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 3: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-3-normal-2285814261105.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 4: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-4-normal-2285814361106.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 5: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-5-normal-2285814461107.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 6: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-6-normal-2285814561108.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 7: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-7-normal-2285814661109.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 8: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-8-normal-2285814761110.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 9: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-9-normal-2285814861111.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 10: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-10-normal-2285814961112.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 11: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-11-normal-2282711661113.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,Slide unatoto 12: https://pasgo.vn/Upload/anh-chi-tiet/slide-unatoto-11-normal-2285815061114.webp,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/menu-unatoto/menu-unatoto-1.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/menu-unatoto/menu-unatoto-2.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/menu-unatoto/menu-unatoto-3.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/menu-unatoto/menu-unatoto-4.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/menu-unatoto/menu-unatoto-5.jpg,,,,,,,,,,,,
https://pasgo.vn/nha-hang/unatoto-truong-dinh-5213,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/menu-unatoto/menu-unatoto-6.jpg,,,,,,,,,,,,
