URL,Ten,Gia,MoTa (nếu có),DanhMuc,Điền URL để phân biệt các nhà hàng
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Café đen truyền thống (Đá/ Nóng),48000,"Vietnamese Traditional Coffee (Hot/Ice)
",Đồ uống,Danh mục tuỳ nhà hàng có kiểu khác nhau
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Café truyền thống sữa thuần thực vật (Đá/ Nóng),58000,Vietnamese Traditional Coffee with vegan milk (Hot/Ice),Đồ uống,"nhà hàng nào không có để mục (súp, món chính, salad,…) như ảnh dưới thì tự tạo để phân loại món ăn"
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Café kiểu Ý (Nóng),58000,Espresso (Hot),Đồ uống,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Café kiểu Mỹ (Đá/ Nóng),58000,Americano (Hot/Ice),Đồ uống,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Latte sữa yến mạch (Đá/ Nóng),58000,(Latte),Đồ uống,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Capu sữa yến mạch (Đá/ Nóng),58000,Cappuccino Ice/Hot,Đồ uống,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Sô cô la sữa yến mạch (Nóng),58000,(Hot Chocolate),Đồ uống,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Café dừa xay,68000,(Coconut coffee blended),Đồ uống,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Sô cô la đá xay,68000,(Choco blended),Đồ uống,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Bánh mì with grilled mushroom,28000,"(Bread, grilled shitake mushroom, green onion, chili, cucumber, tomato, carrot, white radish)",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Bánh mì with Pate mushroom,2800,"(Bread, stew mushroom pate, grilled shitake mushroom, green onion, chili)",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Bún Vi Que,8800,"(Abalone mushroom, shitake mushroom, tofu, common sesban, water lily, yellow bunhead, rice noodle, ponnite loat, piper latot)",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Bún Nam nướng chả giò,88000,"(Mixed rice noodle with grilled mushroom and Spring roll, Stuffed with cucumber, perilla leaf, peanuts, pickled, serving with our sweet sour sauce)",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Bún Huế,88000,"(This dish is Hue province cuisine. Lemongrass is an important spice make this dish special. Shitake mushroom, abalone mushroom, straw mushroom, tofu, rice noodle, carrot, lemongrass, herbs)",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Mì Quảng,88000,"(This dish is Quang Nam province cuisine. Shitake mushroom, tofu, tomato, carrot, lettuce, Quang noodle)",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Vi Que Soup,88000,"Shitake mushroom, king oyster mushroom, abalone mushroom, snow mushroom, ginger, chili, green onion, cabbage",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Pumpkin Soup,88000,"Pumpkin, potatoes, vegan milk, almond, garlic butter bread",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Steamed Abalone mushroom with É leaves,108000,"Abalone mushroom, É leaves",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Steamed Snow Fungus mushroom with lemongrass,108000,"Snow Fungus mushroom, satay, lemongrass, lemon leaves",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Spring rolls,108000,"Sweet potatoes, purple sweet potatoes, taro, star-wood mushroom, shitake mushroom, mung bean, leek, pepper, salt, sugar",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Mustard green rolls,108000,"Mustard green, king oyster mushroom, brown rice noodle, taro, carrot, zucchini, herb",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Phở rolls,118000,"Rice cake, tofu, leek, herb, serving with sour sweet sauce",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Nem Vuông,158000,"Shitake mushroom, king oyster mushroom, ear-wood mushroom, straw mushroom, vermicelli, green onion, leek, brown rice noodle, rice paper, serving with sour sweet sauce",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Crispy tofu with lemongrass,118000,"Tofu, lemongrass, green onion, chili, crispy vermicelli",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Crispy tofu with coriander,128000,"Tofu, garlic, grind rice, coriander sauce",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Fried kailan with garlic/ vegan oyster sauce/ spicy sauce,78000,"Kailan, tỏi, sốt hàu chay hoặc sốt cay",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Fried Jungle vegetables with garlic/ vegan oyster sauce/ spicy sauce,78000,"Rau củ rừng, tỏi, sốt hàu chay hoặc sốt cay",Món chính,
https://pasgo.vn/nha-hang/vi-que-kitchen-suong-nguyet-anh-5124,Fried choy sum with spicy sauce,78000,"Cải xoong, sốt cay",Món chính,
