URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,Ân Nam Quán - Nguyễn Bỉnh Khiêm,"59 Nguyễn Bỉnh Khiêm, P. Đa Kao, Q. 1",Gọi món miền Trung,120.000 – 200.000,10h00 - 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.700986,10.79086,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,THỨ HAI,10:00,23:00,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,THỨ BA,10:00,23:00,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,THỨ TƯ,10:00,23:00,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,THỨ NĂM,10:00,23:00,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,THỨ SÁU,10:00,23:00,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,THỨ BẢY,10:00,23:00,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,CHỦ NHẬT,10:00,23:00,,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-1b: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-1-normal-13210685283.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-2b: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-2-normal-13210695284.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-3b: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-3-normal-13210705285.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-4b: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-4-normal-13210715286.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-5b: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-5-normal-13210725287.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-6b: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-6-normal-13210735288.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-7b: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-7-normal-13210745289.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-anh-avatar: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-nguyen-binh-khiem-slide-8-normal-13210755290.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-slide-9: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-tu-xuong-9-normal-728448217099.webp,,,
https://pasgo.vn/nha-hang/an-nam-quan-nguyen-binh-khiem---dac-san-mien-trung-931,,,,,,,,,,,,,,,,,,,,an-nam-quan-nguyen-binh-khiem-slide-10: https://pasgo.vn/Upload/anh-chi-tiet/an-nam-quan-tu-xuong-10-normal-728448317100.webp,,,
