URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,Kiki Hotpot - Lẩu 1 người Đường 3/2,"420 Đường 3/2, P. 12, Q. 10",Gọi món Á,178.000 - 350.000,11h00 – 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,"Khách văn phòng, gia đình, bạn bè","Lẩu ba rọi bò Mỹ, Lẩu ba rọi heo, Lẩu nạc dăm heo, Lẩu thịt đùi gà, Lẩu thăn bò cẩm thạch Úc, Lẩu bắp hoa bò Mỹ, Lẩu sườn bò không xương Mỹ, Lẩu đầu cá hồi…",Hiện đại, 100 khách,"- Kiki Hotpot phục vụ mỗi khách hàng 1 nồi lẩu, đảm bảo hương vị và ATVSTP.
- 8 vị lẩu châu Á đặc sắc cùng menu món nhúng tươi ngon, phong phú",,,,,,,,,106.669023062161,10.7689422317543,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,Chỗ để xe ô tô,Tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,Chỗ để xe máy,Tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,THỨ HAI,11:00,22:00,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,THỨ BA,11:00,22:00,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,22:00,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,22:00,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,22:00,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-1-normal-2100598151552.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-2-normal-2100598251553.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-3-normal-2100598551554.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-4-normal-2100599051555.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-5-normal-2100599251556.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-6-normal-2100600151557.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-7-normal-2100600651558.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-8: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-8-normal-2100600951559.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-9: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-9-normal-2100601051560.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-10: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-10-normal-2100601151561.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-11: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-11-normal-2100601251562.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,nha-hang-kiki-hotpot-duong-3-2-12: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-kiki-hotpot-duong-3-2-12-normal-2100601351563.webp,,,
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-1.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-2.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-3.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-4.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-5.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-6.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-7.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-8.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-9.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-10.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-11.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-12.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-13.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-14.jpg
https://pasgo.vn/nha-hang/kiki-hotpot---lau-1-nguoi-duong-3-2-4523,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/kiki/kiki-15.jpg
