URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,Michi Sushi – Nguyễn Huệ,"Lầu 7, 42 Nguyễn Huệ , P. Bến Nghé, Q. 1",Gọi món Nhật Bản,150.000 – 300.000,11h00 - 13h30 và 16h00 - 21h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,"Tụ họp bạn bè, cặp đôi, liên hoan, sinh nhật,…","Các loại rượu Whisk(e)y từ khắp thế giới, cocktails sáng tạo, cigars, các món snack nhẹ như Các loại phô mai; Các loại thịt nguội xông khói; Da heo chiên giòn dùng kèm sốt chili mayo; Trứng hồng đào bọc thịt heo, nấm Truffle đen…",Hiện đại, 30 khách,"- Firkin Bar với phong cách lịch lãm và hiện đại mang đến danh sách đồ uống ấn tượng được tạo nên bởi các bartender chuyên nghiệp, đặc biệt là các loại Whisk(e)y; kết hợp cùng những món Âu nhẹ nhàng, tinh tế sẽ là những gợi ý hoàn hảo không thể bỏ qua.",,,,,,,,,106.70585,10.77174,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,Tầng 1,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,THỨ HAI,11:00,22:00,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,THỨ BA,11:00,22:00,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,22:00,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,22:00,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,22:00,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,22:00,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,22:00,,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-1: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-1-normal-523256230952.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-2: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-2-normal-523256330953.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-3: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-3-normal-523256430954.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-4: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-4-normal-523256530955.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-5: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-5-normal-523256730956.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-6: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-6-normal-523256830957.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-7: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-7-normal-523256930958.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-8: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-8-normal-523257130959.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-9: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-9-normal-523257230960.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-10: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-10-normal-523257430961.webp,,,
https://pasgo.vn/nha-hang/michi-sushi-nguyen-hue-2917,,,,,,,,,,,,,,,,,,,,uchi-sushi-nguyen-hue-slide-11: https://pasgo.vn/Upload/anh-chi-tiet/uchi-sushi-nguyen-hue-slide-11-normal-523257530962.webp,,,
