URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,Barbecue Garden - Nam Kỳ Khởi Nghĩa,"135A Nam Kỳ Khởi Nghĩa, P. Bến Nghé, Q. 1",Lẩu - nướng Barbecue,220.000 – 300.000 vn,11h00 - 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,"Khách hàng doanh nhân, công ty, gia đình, cặp đôi…","Wagyu Striploin 5 nướng, Pate Gan Ngỗng Pháp cùng nấm Truffle, Cá tuyết nướng Miso, Mì ý Tôm sốt cay, Cá hồi tẩm củ dền, Sò điệp áp chảo sốt Teriyaki, Bánh phô mai kem Ý,…","Phong cách điện ảnh châu Âu, sang trọng", 70 khách,"- The Dome là nhà hàng Âu mang phong cách cinematic (phong cách điện ảnh) đầu tiên tại Sài Gòn.
- Trải nghiệm ẩm thực đỉnh cao cùng bò Wagyu Úc thượng hạng, thực đơn món Âu độc đáo với các nguyên liệu nhập khẩu trực tiếp từ Ý, Pháp, Na Uy,... trong không gian tráng lệ như các tác phẩm điện ảnh kinh điển.",,,,,,,,,106.697816,10.776823,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,Chỗ để xe máy,Bãi xe của tòa nhà (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,THỨ HAI,11:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,THỨ BA,11:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,THỨ TƯ,11:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,THỨ NĂM,11:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,THỨ SÁU,11:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,THỨ BẢY,11:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,CHỦ NHẬT,11:00,23:00,,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1-normal-12366726133.webp,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-2: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-2-normal-12366736134.webp,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-4: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-4-normal-12366746135.webp,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-7: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-7-normal-12366756136.webp,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-6: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-6-normal-12366766137.webp,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-5: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-5-normal-12366776138.webp,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-3: https://pasgo.vn/Upload/anh-chi-tiet/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-3-normal-12366786139.webp,,,
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/1.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/2.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/3.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/4.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/5.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/6.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/7.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/8.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/9.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/10.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/11.jpg
https://pasgo.vn/nha-hang/nha-hang-barbecue-garden-135a-nam-ky-khoi-nghia-quan-1-1037,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/nguyenhuong/chuoiannamquan/12.jpg
