URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,Beirut Restaurant - Ngô Đức Kế,"21 Ngô Đức Kế, P. Bến Nghé, Q. 1","Gọi món Á, Âu",400.000 - 500.000,11h30 - 14h30 & 16h00 - 24h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,"Tiếp khách, tiệc công tu, gia đình, họp nhóm, sinh nhật…","Sashimi, Sushi, Tempura, Món nướng Yaki kiểu Nhật, Mì Udon…",Phong cách Nhật Bản, 200 khách (4 tầng),"- Vị trí đắc địa trung tâm quận 1, không gian Nhật Bản ấm cúng, có máy lạnh.
- Món ăn mang hương vị chuẩn Nhật, giá thành hợp lý.",,,,,,,,,106.705963,10.773898,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,Phòng riêng,1 phòng (20 khách),,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,Chỗ để xe ô tô,Bãi xe gần nhà hàng (Phí phụ thuộc đơn vị trông giữ xe),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,Chỗ để xe máy,Tại nhà hàng (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,THỨ HAI,16:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,THỨ BA,16:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,THỨ TƯ,16:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,THỨ NĂM,16:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,THỨ SÁU,16:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,THỨ BẢY,16:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,CHỦ NHẬT,16:00,23:59,,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,,,,nha-hang-beirut-hai-ba-trung-slide-1: https://pasgo.vn/Upload/anh-chi-tiet/slide1-normal-12085477350.webp,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,,,,nha-hang-beirut-hai-ba-trung-slide-2: https://pasgo.vn/Upload/anh-chi-tiet/slide2-normal-12134007351.webp,,,
https://pasgo.vn/nha-hang/nha-hang-beirut-ngo-duc-ke-quan-1-sai-gon-1189,,,,,,,,,,,,,,,,,,,,nha-hang-beirut-hai-ba-trung-slide-3: https://pasgo.vn/Upload/anh-chi-tiet/slide3-normal-12155047352.webp,,,
