URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,Pachi Pachi - Mạc Đĩnh Chi,"52 Mạc Đĩnh Chi, P. Đa Kao, Q. 1",Buffet nướng lẩu Nhật Bản,300.000 - 350.000,10h30 - 22h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,"KH văn phòng, bạn bè, gia đình,...",,Không gian mang đậm phong cách Nhật Bản, 120 khách,,,,,,,,,,106.6968938089,10.7874427640535,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,Tầng 1,40 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,Tầng 2,20 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,Tầng 3,60 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,Phòng riêng 1,10 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,Phòng riêng 2,12 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,Phòng riêng 3,15 khách,,,,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,,,"Chỗ để ô tô, xe máy",Để xe ở trước cửa Nhà hàng  (Miễn phí),,,,,,,
https://pasgo.vn/nha-hang/nha-hang-buffet-pachi-pachi-52-mac-dinh-chi-quan-1-712,,,,,,,,,,,,,,,,,Thứ hai,10:30,22:00,,,,
