URL,Name,Address,Loại hình,PriceRange,Opening Hours,Cuisine,Telephone,Phù hợp,Món đặc sắc,Không gian,Tổng sức chứa,Điểm đặc trưng,Tên tầng,Sức chứa,Tên tiện ích,Mô tả tiện ích,Ngày,Giờ mở,Giờ đóng,ExImages,Kinh độ,Vĩ độ,MenuImages
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,Quán Bụi Original - 19 Ngô Văn Năm,"19 Ngô Văn Năm, P. Bến Nghé, Q. 1",Gọi món Việt,250.000 - 350.000,07h00 - 23h00,,,,,,,,,,,,,,,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,"KH văn phòng, bạn bè, gia đình,...",,"Không gian mộc mạc, giản dị", 170 khách,"- Chuỗi nhà hàng thương hiệu QUÁN BỤI  được thành lập vào năm 2011 hiện tại đã phát triển có cho mình 7 chi nhánh ở Hồ Chí Minh.
- Quán Bụi mang cho mình một phong cách thuần việt lấy ý tưởng trang trí nội thất không gian Indochine.",,,,,,,,,106.705870217781,10.7813191823781,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,Tầng Trệt,35 khách,,,,,,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,Tầng 1,90 khách,,,,,,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,Tầng Thượng,45 khách,,,,,,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,Chỗ để xe máy,Để xe ở bãi để xe Nhà hàng  (10.000đ/xe),,,,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,Thứ hai,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,Thứ ba,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,Thứ tư,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,Thứ năm,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,Thứ sáu,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,Thứ bảy,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,Chủ nhật,07:00,23:00,,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 1: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-1-normal-228007775485.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 2: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-2-normal-228007785486.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 3: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-3-normal-228007795487.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 4: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-4-normal-228007805488.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 5: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-5-normal-228007815489.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 6: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-6-normal-228007825490.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 7: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-7-normal-228007835491.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 8: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-8-normal-228007845492.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 9: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-9-normal-2280079117165.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 10: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-10-normal-2280079217166.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 11: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-11-normal-2280079317167.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,Slide bụi 12: https://pasgo.vn/Upload/anh-chi-tiet/slide-bui-12-normal-2280079417168.webp,,,
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-1.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-2.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-3.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-4.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-5.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-6.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-7.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-8.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-9.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-10.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-11.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-12.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-13.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-14.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-15.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-16.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-17.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-18.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-19.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-20.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-21.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-22.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-23.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-24.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-25.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-26.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-27.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-28.jpg
https://pasgo.vn/nha-hang/quan-bui-original-19-ngo-van-nam-956,,,,,,,,,,,,,,,,,,,,,,,https://cdn.pastaxi-manager.onepas.vn/Content/Uploads/Prices/huy/Menu-Quan-Bui/menu-bụi-29.jpg
